//X Y Z R G B Intensity
6.37524986 8.65049934 -0.01425000 120 105 110 1110.000000
6.37374973 8.64850044 -0.01325000 120 105 110 1139.000000
6.37400007 8.64900017 -0.01225000 120 105 110 1157.000000
6.37349987 8.64825058 -0.01125000 105 90 97 982.000000
6.37575006 8.65100002 -0.01025000 105 90 97 1025.000000
6.37625027 8.65200043 -0.00925000 105 90 97 1010.000000
6.37100029 8.64475060 -0.00825000 105 90 97 1082.000000
6.37549973 8.65100002 -0.00725000 105 90 97 1075.000000
6.37849998 8.65299988 -0.01600000 140 125 130 1007.000000
6.37475014 8.64799976 -0.01500000 120 105 110 1325.000000
6.37400007 8.64699936 -0.01400000 120 105 110 1489.000000
6.37674999 8.65100002 -0.01300000 120 105 110 1742.000000
6.37225008 8.64475060 -0.01200000 120 105 110 1642.000000
6.37424994 8.64750004 -0.01100000 105 90 97 1532.000000
6.37349987 8.64649963 -0.01000000 105 90 97 1532.000000
6.37475014 8.64799976 -0.00900000 105 90 97 1514.000000
6.37674999 8.65100002 -0.00800000 105 90 97 1560.000000
6.37374973 8.64699936 -0.00700000 105 90 97 1403.000000
6.37424994 8.64750004 -0.00600000 109 95 108 1171.000000
6.37524986 8.64900017 -0.00500000 109 95 108 971.000000
6.37599993 8.64974976 -0.00400000 109 95 108 725.000000
6.37825012 8.65275002 -0.00300000 109 95 108 485.000000
6.37300014 8.64400005 -0.01725000 110 93 99 1021.000000
6.37450027 8.64624977 -0.01625000 110 93 99 1357.000000
6.37599993 8.64825058 -0.01525000 102 85 91 1610.000000
6.37524986 8.64725018 -0.01425000 102 85 91 1839.000000
6.37500000 8.64674950 -0.01325000 102 85 91 1889.000000
6.37599993 8.64825058 -0.01225000 102 85 91 1785.000000
6.37524986 8.64699936 -0.01125000 103 86 96 1839.000000
6.37650013 8.64875031 -0.01025000 103 86 96 1850.000000
6.37625027 8.64850044 -0.00925000 103 86 96 1803.000000
6.37400007 8.64525032 -0.00825000 103 86 96 1807.000000
6.37275028 8.64400005 -0.00725000 103 86 96 1650.000000
6.37374973 8.64500046 -0.00625000 83 69 84 1464.000000
6.37674999 8.64925003 -0.00525000 83 69 84 1203.000000
6.37625027 8.64875031 -0.00425000 83 69 84 928.000000
6.37674999 8.64925003 -0.00325000 83 69 84 650.000000
6.37575006 8.64774990 -0.00225000 111 98 115 471.000000
6.37549973 8.64575005 -0.02000000 110 93 99 867.000000
6.37774992 8.64900017 -0.01900000 110 93 99 1010.000000
6.37500000 8.64525032 -0.01800000 110 93 99 1278.000000
6.37549973 8.64575005 -0.01700000 110 93 99 1685.000000
6.37724972 8.64825058 -0.01600000 110 93 99 1985.000000
6.37625027 8.64699936 -0.01500000 102 85 91 2021.000000
6.37475014 8.64475060 -0.01400000 102 85 91 1978.000000
6.37625027 8.64674950 -0.01300000 102 85 91 1892.000000
6.37575006 8.64599991 -0.01200000 102 85 91 1925.000000
6.37674999 8.64725018 -0.01100000 103 86 96 1953.000000
6.37650013 8.64699936 -0.01000000 103 86 96 1953.000000
6.37724972 8.64825058 -0.00900000 103 86 96 1828.000000
6.37849998 8.64999962 -0.00800000 103 86 96 1742.000000
6.37625027 8.64674950 -0.00700000 103 86 96 1621.000000
6.37575006 8.64599991 -0.00600000 83 69 84 1392.000000
6.37750006 8.64850044 -0.00500000 83 69 84 1167.000000
6.37450027 8.64449978 -0.00400000 83 69 84 850.000000
6.38000011 8.65200043 -0.00300000 83 69 84 625.000000
6.37500000 8.64525032 -0.00200000 111 98 115 425.000000
6.37599993 8.64500046 -0.02200000 125 110 117 996.000000
6.37699986 8.64599991 -0.02125000 125 110 117 1367.000000
6.37674999 8.64599991 -0.02025000 110 93 99 1553.000000
6.37599993 8.64475060 -0.01925000 110 93 99 1471.000000
6.37825012 8.64774990 -0.01825000 110 93 99 1653.000000
6.37575006 8.64424992 -0.01725000 110 93 99 1896.000000
6.37599993 8.64475060 -0.01625000 110 93 99 2010.000000
6.37774992 8.64699936 -0.01525000 102 85 91 2021.000000
6.37374973 8.64175034 -0.01400000 102 85 91 2028.000000
6.37750006 8.64674950 -0.01300000 102 85 91 2046.000000
6.37599993 8.64475060 -0.01200000 102 85 91 2075.000000
6.37599993 8.64500046 -0.01125000 103 86 96 2021.000000
6.37849998 8.64825058 -0.01025000 103 86 96 1982.000000
6.37849998 8.64799976 -0.00925000 103 86 96 1900.000000
6.37774992 8.64699936 -0.00825000 103 86 96 1860.000000
6.37975025 8.64999962 -0.00725000 103 86 96 1714.000000
6.37825012 8.64774990 -0.00625000 83 69 84 1471.000000
6.37774992 8.64725018 -0.00525000 83 69 84 1175.000000
6.37874985 8.64875031 -0.00425000 83 69 84 910.000000
6.37975025 8.64974976 -0.00325000 83 69 84 646.000000
6.37475014 8.64299965 -0.00225000 111 98 115 414.000000
6.38024998 8.64875031 -0.02500000 136 123 130 982.000000
6.37849998 8.64649963 -0.02400000 125 110 117 1353.000000
6.37800026 8.64575005 -0.02300000 125 110 117 1467.000000
6.37849998 8.64649963 -0.02200000 125 110 117 1774.000000
6.37925005 8.64750004 -0.02100000 125 110 117 2064.000000
6.37874985 8.64674950 -0.02000000 110 93 99 1921.000000
6.37800026 8.64575005 -0.01900000 110 93 99 1992.000000
6.37674999 8.64400005 -0.01800000 110 93 99 2046.000000
6.37724972 8.64500046 -0.01700000 110 93 99 1967.000000
6.37699986 8.64424992 -0.01600000 110 93 99 2000.000000
6.37750006 8.64525032 -0.01500000 102 85 91 1939.000000
6.37825012 8.64624977 -0.01400000 102 85 91 1989.000000
6.37849998 8.64624977 -0.01300000 102 85 91 2110.000000
6.38024998 8.64875031 -0.01200000 102 85 91 2164.000000
6.38049984 8.64900017 -0.01100000 103 86 96 2046.000000
6.37925005 8.64750004 -0.01000000 103 86 96 1921.000000
6.37925005 8.64725018 -0.00900000 103 86 96 1850.000000
6.37899971 8.64725018 -0.00800000 103 86 96 1778.000000
6.37975025 8.64799976 -0.00700000 103 86 96 1653.000000
6.38000011 8.64850044 -0.00600000 83 69 84 1400.000000
6.38074970 8.64925003 -0.00500000 83 69 84 1139.000000
6.37575006 8.64274979 -0.00400000 83 69 84 789.000000
6.37699986 8.64449978 -0.00300000 83 69 84 525.000000
6.37225008 8.63800049 -0.00200000 111 98 115 339.000000
6.37849998 8.64500046 -0.02700000 136 123 130 928.000000
6.37750006 8.64349937 -0.02600000 136 123 130 1182.000000
6.38000011 8.64674950 -0.02500000 136 123 130 1457.000000
6.37899971 8.64550018 -0.02400000 125 110 117 1753.000000
6.38074970 8.64774990 -0.02325000 125 110 117 1885.000000
6.37750006 8.64324951 -0.02225000 125 110 117 2307.000000
6.37925005 8.64575005 -0.02125000 125 110 117 2342.000000
6.37750006 8.64324951 -0.02025000 110 93 99 2132.000000
6.37899971 8.64550018 -0.01925000 110 93 99 2021.000000
6.37899971 8.64550018 -0.01825000 110 93 99 1925.000000
6.38074970 8.64774990 -0.01725000 110 93 99 1771.000000
6.37899971 8.64550018 -0.01600000 110 93 99 1685.000000
6.37825012 8.64449978 -0.01500000 102 85 91 1603.000000
6.37874985 8.64525032 -0.01400000 102 85 91 1678.000000
6.37949991 8.64624977 -0.01300000 102 85 91 1882.000000
6.37800026 8.64424992 -0.01225000 102 85 91 1857.000000
6.38175011 8.64900017 -0.01125000 103 86 96 1646.000000
6.38124990 8.64875031 -0.01025000 103 86 96 1546.000000
6.38199997 8.64949989 -0.00925000 103 86 96 1496.000000
6.37975025 8.64649963 -0.00825000 103 86 96 1482.000000
6.37874985 8.64525032 -0.00725000 103 86 96 1489.000000
6.37899971 8.64525032 -0.00625000 83 69 84 1303.000000
6.37699986 8.64274979 -0.00525000 83 69 84 1017.000000
6.37699986 8.64274979 -0.00425000 83 69 84 689.000000
6.38024998 8.64725018 -0.00325000 83 69 84 432.000000
6.38574982 8.65474987 -0.00225000 111 98 115 296.000000
6.37724972 8.64150047 -0.02900000 102 89 98 1207.000000
6.37674999 8.64074993 -0.02800000 102 89 98 1357.000000
6.37925005 8.64424992 -0.02700000 102 89 98 1600.000000
6.37625027 8.63999939 -0.02600000 102 89 98 1675.000000
6.37599993 8.63949966 -0.02500000 102 89 98 1817.000000
6.37975025 8.64475060 -0.02400000 113 96 106 2007.000000
6.37925005 8.64400005 -0.02300000 113 96 106 2264.000000
6.38000011 8.64500046 -0.02200000 113 96 106 2492.000000
6.37949991 8.64449978 -0.02100000 113 96 106 2217.000000
6.37949991 8.64449978 -0.02000000 120 100 111 1767.000000
6.37849998 8.64299965 -0.01900000 120 100 111 1492.000000
6.37724972 8.64125061 -0.01400000 117 97 108 1150.000000
6.37949991 8.64449978 -0.01300000 117 97 108 1200.000000
6.37874985 8.64349937 -0.01200000 117 97 108 1125.000000
6.38424969 8.65075016 -0.01100000 113 93 104 1096.000000
6.38049984 8.64599991 -0.01000000 113 93 104 1028.000000
6.38249969 8.64850044 -0.00900000 113 93 104 1082.000000
6.37949991 8.64424992 -0.00800000 113 93 104 1232.000000
6.38074970 8.64624977 -0.00700000 113 93 104 1382.000000
6.38049984 8.64575005 -0.00600000 69 51 65 1117.000000
6.37925005 8.64400005 -0.00500000 69 51 65 764.000000
6.38800001 8.65625000 -0.00400000 69 51 65 510.000000
6.38100004 8.64649963 -0.00300000 69 51 65 317.000000
6.37899971 8.64200020 -0.03100000 106 95 103 1250.000000
6.37874985 8.64150047 -0.03000000 106 95 103 1457.000000
6.37949991 8.64274979 -0.02900000 102 89 98 1675.000000
6.37825012 8.64125061 -0.02800000 102 89 98 1799.000000
6.38100004 8.64475060 -0.02700000 102 89 98 1964.000000
6.37625027 8.63825035 -0.02600000 102 89 98 1914.000000
6.37899971 8.64200020 -0.02500000 102 89 98 1803.000000
6.38000011 8.64349937 -0.02425000 113 96 106 1817.000000
6.38024998 8.64349937 -0.02325000 113 96 106 1942.000000
6.38049984 8.64400005 -0.02225000 113 96 106 1914.000000
6.37825012 8.64099979 -0.01325000 117 97 108 585.000000
6.37825012 8.64125061 -0.01225000 117 97 108 560.000000
6.38000011 8.64349937 -0.01125000 113 93 104 553.000000
6.38399982 8.64875031 -0.01025000 113 93 104 557.000000
6.38649988 8.65225029 -0.00925000 113 93 104 667.000000
6.38124990 8.64525032 -0.00825000 113 93 104 957.000000
6.38450003 8.64949989 -0.00725000 113 93 104 1300.000000
6.38325024 8.64774990 -0.00625000 69 51 65 1046.000000
6.38275003 8.64725018 -0.00525000 69 51 65 714.000000
6.38350010 8.64825058 -0.00425000 69 51 65 414.000000
6.37125015 8.63150024 -0.00325000 69 51 65 232.000000
6.38074970 8.64274979 -0.03300000 106 95 103 1328.000000
6.38074970 8.64274979 -0.03200000 106 95 103 1596.000000
6.38175011 8.64424992 -0.03100000 106 95 103 1767.000000
6.37975025 8.64125061 -0.03000000 106 95 103 1935.000000
6.38074970 8.64299965 -0.02900000 102 89 98 1892.000000
6.38074970 8.64299965 -0.02800000 102 89 98 1950.000000
6.38024998 8.64200020 -0.02700000 102 89 98 1978.000000
6.38049984 8.64225006 -0.02600000 102 89 98 1810.000000
6.38124990 8.64349937 -0.02500000 102 89 98 1578.000000
6.38325024 8.64599991 -0.01200000 117 97 108 242.000000
6.38374996 8.64699936 -0.01100000 113 93 104 271.000000
6.37575006 8.63599968 -0.01000000 113 93 104 328.000000
6.37899971 8.64050007 -0.00900000 113 93 104 571.000000
6.38549995 8.64925003 -0.00800000 113 93 104 1085.000000
6.38124990 8.64349937 -0.00700000 113 93 104 1317.000000
6.38525009 8.64900017 -0.00600000 69 51 65 1025.000000
6.38100004 8.64324951 -0.00500000 69 51 65 667.000000
6.38199997 8.64449978 -0.00400000 69 51 65 317.000000
6.38525009 8.64699936 -0.03525000 129 119 128 1225.000000
6.38024998 8.64025021 -0.03400000 129 119 128 1453.000000
6.37975025 8.63974953 -0.03300000 106 95 103 1778.000000
6.37949991 8.63949966 -0.03200000 106 95 103 1992.000000
