//U V R G B Intensity
0.01434442 -0.06719619 74 61 70 1292
0.01454793 -0.06631749 73 61 71 1060
0.00916811 -0.06560865 78 70 83 1396
0.01292598 -0.06150328 75 64 80 1367
0.00823880 -0.06243112 78 71 89 696
0.00900420 -0.05913467 72 65 81 953
0.02230021 -0.05361326 75 68 86 671
0.02345230 -0.05231875 83 79 94 928
0.01768467 -0.05377009 74 60 85 1200
0.00978893 -0.05599618 71 64 80 1492
0.00770293 -0.05653929 73 66 82 1071
0.00578194 -0.05694829 75 70 90 1010
0.00490390 -0.05708549 79 74 97 1110
0.02170640 -0.05181418 73 65 86 1457
0.01583977 -0.05326437 76 63 91 1432
0.01283368 -0.05425811 73 64 91 1235
0.01198861 -0.05436845 74 66 89 1350
0.01000162 -0.05483104 74 67 85 1657
0.00811357 -0.05521299 76 69 87 1385
0.00703303 -0.05565472 76 69 87 1385
0.00399846 -0.05653200 78 73 96 1442
0.02299508 -0.05035069 73 70 89 1664
0.02211705 -0.05048808 73 68 90 1664
0.02117301 -0.05067906 73 68 91 1896
0.01796890 -0.05183361 78 68 95 1975
0.01607631 -0.05235876 79 69 96 1832
0.01415533 -0.05276776 76 67 96 1592
0.01209773 -0.05342720 76 68 91 1517
0.00720814 -0.05465970 79 72 90 1585
0.00532011 -0.05504164 78 73 93 1867
0.02434965 -0.04883348 76 75 91 1632
0.02225457 -0.04966297 73 68 90 1789
0.02138107 -0.04965697 73 68 90 1871
0.02047009 -0.04982122 73 68 91 1921
0.01739796 -0.05086840 78 68 95 2032
0.01645848 -0.05091618 79 69 96 1896
0.01054971 -0.05267950 76 68 89 1914
0.00950676 -0.05295111 76 68 89 1767
0.00667470 -0.05360569 79 72 90 2039
0.00569771 -0.05374208 78 73 93 2075
0.02256620 -0.04833572 78 75 96 1882
0.01757306 -0.04987338 78 69 98 1882
0.01683154 -0.04967836 78 69 98 2021
0.01072492 -0.05168460 78 70 94 2025
0.00293721 -0.05354367 84 78 106 2082
0.01703967 -0.04865660 76 69 100 1971
0.00530186 -0.05170019 83 78 100 2139
0.02304840 -0.04623810 82 78 101 1764
0.02028230 -0.04675705 77 71 97 1878
0.01617175 -0.04801451 76 69 100 1982
0.01330673 -0.04861449 82 76 104 2171
0.00753449 -0.05012705 79 74 94 2089
-0.00227769 -0.05261876 83 76 107 2214
0.03310631 -0.04263596 83 76 92 1796
0.02815065 -0.04400356 82 75 91 2121
0.02720664 -0.04419453 81 77 94 1946
0.02528108 -0.04466509 79 74 94 1864
0.02444054 -0.04463223 79 74 96 1814
0.02343054 -0.04495844 79 74 96 1771
0.01937688 -0.04628521 79 72 103 1882
0.01468979 -0.04721335 79 72 105 2014
0.01061219 -0.04836230 81 76 99 2039
0.00575556 -0.04956775 79 76 97 2064
0.00460904 -0.05006307 80 76 99 2057
-0.00402822 -0.05217560 82 78 101 2164
0.03354991 -0.04128281 84 76 100 1878
0.03246937 -0.04172434 83 75 98 1821
0.02461112 -0.04378020 79 74 94 1871
0.02157655 -0.04465766 79 74 97 1889
0.01378439 -0.04657841 78 74 99 2064
0.00488318 -0.04898753 80 76 99 2189
-0.00571273 -0.05167886 82 78 101 2239
-0.00777024 -0.05233822 82 78 101 2067
-0.00976186 -0.05286243 83 76 107 2192
0.03470653 -0.04000820 86 76 101 2092
0.02495579 -0.04250768 79 74 94 1846
0.02283219 -0.04322090 79 74 96 1921
0.02185067 -0.04358192 79 74 97 1907
0.00731830 -0.04702858 79 75 98 2278
0.00519478 -0.04782319 79 75 98 1932
0.00424622 -0.04807591 80 76 99 2075
0.00239568 -0.04836926 82 78 101 2114
0.00043712 -0.04886654 82 78 101 2057
-0.00337656 -0.04980056 82 78 101 2064
-0.00752915 -0.05128941 82 78 101 2075
-0.01022471 -0.05161178 83 76 107 2017
0.03298906 -0.03937502 83 75 99 1960
0.02506035 -0.04170962 79 74 94 1796
0.02233178 -0.04197707 79 74 97 1960
0.01919371 -0.04315982 79 73 101 2039
0.01720672 -0.04362242 79 72 103 2114
0.01636165 -0.04373275 79 72 105 2121
0.01430407 -0.04431053 79 72 103 1889
0.01332255 -0.04467175 79 75 100 1971
0.01147198 -0.04496512 80 76 99 2139
0.00560536 -0.04641531 80 76 99 1964
0.00260381 -0.04726586 83 79 102 2107
0.00071577 -0.04764781 82 78 101 1939
-0.00428189 -0.04924719 82 78 101 2182
-0.00529191 -0.04957341 82 78 101 2032
-0.00715153 -0.04990858 82 78 101 2042
0.04024783 -0.03631915 83 80 107 2107
0.03511820 -0.03794425 84 75 104 1942
0.03033208 -0.03903457 83 75 99 1821
0.02247393 -0.04109055 80 75 95 2060
0.01552676 -0.04306393 80 73 104 1939
0.01360575 -0.04347293 80 74 102 1978
0.01056656 -0.04441162 81 77 100 2021
0.00588403 -0.04527803 81 77 100 1971
0.00479894 -0.04586296 81 77 100 1989
-0.00303088 -0.04795349 82 78 101 2032
-0.00592885 -0.04858033 82 78 101 2150
-0.01270656 -0.05019445 87 78 105 2092
0.04048439 -0.03533187 83 80 107 2117
0.03253183 -0.03732550 83 74 101 1942
0.02267746 -0.04021165 80 75 95 1953
0.02086456 -0.04025377 80 75 97 1928
0.01890137 -0.04089410 80 74 100 2121
0.01495581 -0.04201707 80 73 104 1996
0.01185526 -0.04294812 80 76 101 1996
-0.00362570 -0.04672876 82 78 101 2014
-0.01040787 -0.04848639 83 77 103 2032
-0.01148386 -0.04878493 83 77 103 2025
0.03094625 -0.03674792 82 76 102 2117
0.02690629 -0.03780835 82 77 99 1821
0.02609417 -0.03789181 83 78 100 1871
0.02305967 -0.03876922 80 75 95 1946
0.01921299 -0.03972997 80 75 98 2078
0.01813245 -0.04009004 80 75 98 2071
0.01513544 -0.04087885 80 74 100 2035
0.01223285 -0.04164875 80 76 99 2135
0.01017526 -0.04230818 81 77 100 2021
0.00832025 -0.04266322 82 78 101 2064
0.00625811 -0.04346585 82 78 101 2007
0.00130254 -0.04475193 84 80 103 2032
0.00042906 -0.04482757 82 78 101 2071
-0.00160003 -0.04552183 82 78 101 1917
-0.00237459 -0.04543519 82 78 101 2021
-0.00537160 -0.04622419 82 78 101 2075
-0.00632017 -0.04647671 82 78 101 2025
-0.00935472 -0.04743562 82 78 101 2139
-0.01137929 -0.04806815 83 78 101 1957
-0.01701500 -0.04924868 86 81 103 2082
-0.01917607 -0.05013195 82 79 98 2417
-0.02105957 -0.05045236 81 78 97 2207
0.04491675 -0.03196821 238 243 255 17728
0.04393971 -0.03218592 238 243 255 8839
0.03989059 -0.03345114 126 126 162 2300
0.03807308 -0.03363631 93 92 132 2032
0.02927090 -0.03596473 82 76 102 1992
0.02805383 -0.03665702 82 77 100 2060
0.02525472 -0.03720309 83 78 100 1821
0.02434375 -0.03736714 81 76 96 1871
0.02323017 -0.03783559 81 76 96 1864
0.02033210 -0.03846231 81 76 98 2046
