//U V R G B Intensity
0.03985308 -0.05686169 102 99 108 371
0.02190645 -0.05297118 106 104 107 485
0.02394819 -0.05200502 96 91 98 682
0.01694222 -0.05490771 119 117 118 389
0.02010835 -0.05306582 106 104 107 553
0.02860700 -0.04829134 96 91 98 2271
0.03125953 -0.04693434 86 79 97 1246
0.03617916 -0.04411194 104 96 117 585
0.01483817 -0.05470373 119 117 118 550
0.02397564 -0.04964832 96 91 98 1071
0.03172793 -0.04523383 86 79 97 853
0.03422778 -0.04389272 86 79 97 721
0.02814891 -0.04636453 96 91 98 928
0.00953309 -0.05544452 99 96 103 721
0.01142155 -0.05432878 99 96 103 721
0.01912866 -0.05017844 98 92 102 903
0.02182639 -0.04855792 98 92 102 810
0.03221408 -0.04283191 85 77 100 885
0.03599157 -0.04060038 85 76 103 746
0.00455116 -0.05709678 106 105 110 560
0.00628690 -0.05599631 106 105 110 682
0.01434460 -0.05155130 99 96 103 839
0.02628791 -0.04495929 84 78 92 903
0.03608137 -0.03941379 85 76 103 792
0.04521884 -0.03435838 89 81 105 403
0.02752038 -0.04318305 85 77 100 767
0.03918515 -0.03656605 89 81 105 789
0.04217055 -0.03495869 89 81 105 692
0.01610842 -0.04825833 98 92 102 728
0.01988532 -0.04619112 84 78 92 775
0.02113553 -0.04552053 84 78 92 842
0.03297074 -0.03884398 85 76 103 757
0.04366382 -0.03292319 89 81 105 650
0.00422802 -0.05388417 106 105 110 792
0.00706073 -0.05229269 106 105 110 767
0.02315955 -0.04311892 84 78 92 792
0.02410377 -0.04264319 84 78 92 807
0.02629763 -0.04149630 85 77 100 846
0.03007514 -0.03926476 85 77 100 789
0.03528241 -0.03629188 85 76 103 814
0.03732415 -0.03516082 85 76 103 814
0.04801725 -0.02924001 91 86 106 553
-0.00070874 -0.05560085 122 123 125 685
0.00888686 -0.05017048 99 96 103 789
0.02309664 -0.04211251 84 78 92 807
0.02592991 -0.04052098 85 77 100 782
0.02937396 -0.03870413 85 77 100 764
0.03677569 -0.03458493 85 76 103 857
0.04940242 -0.02744789 91 86 106 635
-0.00470184 -0.05667696 122 123 125 550
0.00300585 -0.05236290 106 105 110 807
0.01721564 -0.04430493 98 92 102 792
