//U V R G B Intensity
0.03939835 -0.06318955 97 100 91 771
0.03854357 -0.06248105 97 100 91 2350
0.03990508 -0.05480151 109 111 110 371
0.02192470 -0.05891210 119 119 121 767
0.02756040 -0.05593417 100 99 104 821
0.02267155 -0.05739048 100 99 104 400
0.03453459 -0.04977162 94 93 98 1132
0.03374633 -0.04989649 105 104 110 403
0.03337320 -0.04942422 94 93 98 1935
0.03166310 -0.04800725 88 85 96 1907
0.01666405 -0.05511746 114 113 121 446
0.02543518 -0.05034467 99 97 108 1228
0.02657610 -0.04975181 99 97 108 1792
0.02876858 -0.04859928 88 85 96 2807
0.02920745 -0.04826857 88 85 96 2203
0.03015038 -0.04762625 88 85 96 1696
0.03363844 -0.04552844 89 85 99 592
0.01282663 -0.05618801 114 113 121 492
0.01613759 -0.05433221 114 113 121 607
0.01644499 -0.05412718 114 113 121 650
0.01898878 -0.05267944 99 97 108 728
0.02401063 -0.04992871 99 97 108 1060
0.02587407 -0.04902689 99 97 108 1346
0.02653276 -0.04836226 88 85 96 1646
0.02670909 -0.04829298 88 85 96 1453
0.02826528 -0.04742227 88 85 96 1121
0.03074259 -0.04629263 88 85 96 946
0.03076500 -0.04607422 88 85 96 885
0.03203757 -0.04551120 89 85 99 828
0.03392342 -0.04422593 89 85 99 735
0.03502024 -0.04373275 89 85 99 682
0.03721273 -0.04258022 89 85 99 528
0.03927491 -0.04122568 111 107 124 421
0.01036963 -0.05662149 121 122 127 446
0.01620409 -0.05319147 114 113 121 753
0.01901045 -0.05164670 114 113 121 775
0.02015211 -0.05088111 99 97 108 853
0.02798030 -0.04658624 88 85 96 928
0.02953710 -0.04571610 88 85 96 864
0.03159868 -0.04452541 89 85 99 910
0.04074353 -0.03940343 111 107 124 596
0.04186220 -0.03869064 111 107 124 392
0.01313326 -0.05385276 114 113 121 775
0.01269571 -0.05401132 114 113 121 785
0.01409919 -0.05315700 114 113 121 803
0.01692796 -0.05172328 114 113 121 839
0.01914211 -0.05052507 99 97 108 882
0.02890158 -0.04500191 88 85 96 867
0.02907790 -0.04460382 88 85 96 871
0.03124798 -0.04367032 89 85 99 950
0.03626982 -0.04075518 89 85 99 853
0.03741148 -0.03998959 111 107 124 746
0.04054748 -0.03835971 111 107 124 671
0.04302419 -0.03706509 111 107 124 557
0.04258664 -0.03705861 101 98 115 475
0.00431940 -0.05740159 102 100 111 628
0.00835290 -0.05523683 102 100 111 671
0.01120468 -0.05358462 102 100 111 803
0.01370437 -0.05223658 91 87 102 864
0.01451640 -0.05172051 91 87 102 803
0.01484606 -0.05147035 91 87 102 846
0.01686280 -0.05038829 91 87 102 860
0.01956067 -0.04875198 92 88 105 792
0.02050417 -0.04827402 92 88 105 785
0.02469099 -0.04625783 92 88 105 792
0.02486675 -0.04602357 90 82 103 892
0.03162111 -0.04216845 83 75 98 814
0.03513083 -0.04018939 83 75 98 796
0.03714757 -0.03910732 83 75 98 828
0.03574544 -0.03962443 91 81 105 742
0.03951638 -0.03772110 91 81 105 764
0.04236817 -0.03606890 96 88 111 603
0.04453824 -0.03497037 96 88 111 517
0.00955972 -0.05333825 102 100 111 750
0.00973604 -0.05326835 102 100 111 789
0.01317869 -0.05127797 91 87 102 839
0.01274114 -0.05143590 91 87 102 817
0.01506452 -0.05032216 91 87 102 860
0.01727868 -0.04912394 91 87 102 814
0.01791496 -0.04867771 92 88 105 789
0.01774057 -0.04890420 92 88 105 771
0.01982380 -0.04766846 92 88 105 728
0.01999956 -0.04743421 92 88 105 800
0.02155634 -0.04656407 92 88 105 825
0.02785075 -0.04308590 90 82 103 771
0.03300291 -0.04037277 83 75 98 821
0.03271927 -0.04035164 83 75 98 810
0.03458213 -0.03928421 83 75 98 810
0.03820108 -0.03722458 91 81 105 775
0.03899069 -0.03676250 91 81 105 782
0.04164373 -0.03539798 91 81 105 750
0.04151281 -0.03552487 96 88 111 710
0.04620502 -0.03269546 96 88 111 492
0.00116097 -0.05711134 127 127 135 550
0.00370554 -0.05549087 102 100 111 785
0.00872738 -0.05274014 102 100 111 782
0.01046049 -0.05180072 91 87 102 850
0.01326684 -0.05025596 91 87 102 821
0.01530602 -0.04911989 91 87 102 764
0.01701612 -0.04823391 91 87 102 782
0.01752150 -0.04791392 92 88 105 767
0.02317964 -0.04471758 90 82 103 846
0.02396923 -0.04425551 90 82 103 889
0.02853052 -0.04155236 83 75 98 771
0.03041697 -0.04043270 83 75 98 771
0.03311409 -0.03896913 83 75 98 810
0.03436364 -0.03829450 83 75 98 775
0.03482494 -0.03790979 91 81 105 775
0.03749965 -0.03650022 91 81 105 810
0.03925459 -0.03550624 91 81 105 807
0.04177672 -0.03410419 96 88 111 682
0.04333352 -0.03323404 96 88 111 646
0.04741243 -0.03096185 96 88 111 485
0.00109523 -0.05594019 127 127 135 732
0.00081102 -0.05591849 127 127 135 728
0.00642432 -0.05315896 102 100 111 792
0.00537290 -0.05354471 102 100 111 807
0.00820167 -0.05194595 102 100 111 764
0.00975847 -0.05107643 91 87 102 817
0.01212728 -0.04952581 91 87 102 867
0.01778541 -0.04632884 92 88 105 782
0.01997849 -0.04517750 92 88 105 807
0.02236837 -0.04374505 90 82 103 846
0.02361851 -0.04323540 90 82 103 814
0.02548194 -0.04233358 90 82 103 846
0.02489049 -0.04250740 90 82 103 853
0.03238963 -0.03846262 83 75 98 789
0.03666730 -0.03590274 91 81 105 828
0.03868405 -0.03482005 91 81 105 796
-0.00179793 -0.05619562 127 127 135 782
0.00276262 -0.05383024 127 127 135 864
0.00495568 -0.05267829 102 100 111 782
0.00999994 -0.04970976 91 87 102 810
0.01234634 -0.04854196 91 87 102 803
0.01563566 -0.04656681 91 87 102 750
0.01489090 -0.04692087 92 88 105 746
0.01723727 -0.04558929 92 88 105 782
0.01866316 -0.04468098 92 88 105 825
0.02223670 -0.04272815 92 88 105 828
0.02679800 -0.04035381 90 82 103 846
0.02636048 -0.04034795 90 82 103 825
0.02997942 -0.03828831 83 75 98 771
0.03418867 -0.03621748 83 75 98 782
0.03390443 -0.03603076 91 81 105 775
0.03673246 -0.03476975 91 81 105 785
0.03894795 -0.03339938 91 81 105 814
0.04489029 -0.03022537 96 88 111 767
0.04368557 -0.03046254 96 88 111 710
0.04633861 -0.02926306 96 88 111 764
0.04730395 -0.02856674 96 92 109 603
0.05072416 -0.02679479 96 92 109 432
-0.00122815 -0.05491602 127 127 135 817
0.00098733 -0.05354565 127 127 135 839
0.00287318 -0.05242542 102 100 111 800
0.00445240 -0.05166568 102 100 111 771
0.00662246 -0.05056715 102 100 111 889
0.00664547 -0.05034993 102 100 111 782
0.00912217 -0.04921973 102 100 111 821
0.01309187 -0.04702809 91 87 102 850
0.01403478 -0.04638514 91 87 102 750
0.01497906 -0.04573507 92 88 105 814
0.01703989 -0.04471773 92 88 105 846
0.02068126 -0.04243906 90 82 103 732
0.02489049 -0.04036887 90 82 103 875
0.02771986 -0.03877066 83 75 98 803
0.02774228 -0.03871667 83 75 98 775
0.03052620 -0.03722653 83 75 98 757
0.03791686 -0.03309021 91 81 105 842
0.03885979 -0.03244727 91 81 105 803
0.04296113 -0.03012107 96 88 111 757
0.04405737 -0.02946228 96 88 111 825
0.04596488 -0.02846079 96 88 111 771
0.04565958 -0.02864975 96 92 109 792
0.04829020 -0.02717482 96 92 109 717
0.04831262 -0.02712082 96 92 109 657
-0.00350880 -0.05511643 127 131 134 725
-0.00271920 -0.05465437 127 127 135 771
-0.00241121 -0.05444989 127 127 135 817
-0.00021873 -0.05313296 127 127 135 771
0.00186453 -0.05189721 102 100 111 789
0.00403517 -0.05079925 102 100 111 753
0.00563681 -0.04982109 102 100 111 789
0.00890371 -0.04822938 102 100 111 739
0.01193123 -0.04634293 91 87 102 792
0.01302746 -0.04568478 91 87 102 782
0.01568050 -0.04415586 92 88 105 771
0.01973699 -0.04193767 92 88 105 667
0.02416739 -0.03936138 90 82 103 853
0.02434371 -0.03929211 90 82 103 771
0.02732582 -0.03767749 83 75 98 775
0.03188770 -0.03497490 83 75 98 828
0.03379521 -0.03397341 91 81 105 796
0.03675487 -0.03241281 91 81 105 832
0.03769780 -0.03193490 91 81 105 807
0.04212878 -0.02935919 96 88 111 782
0.04763360 -0.02601365 96 92 109 717
-0.00890303 -0.05689210 149 152 159 610
-0.00732382 -0.05613236 149 152 159 817
0.00035106 -0.05185334 139 139 151 839
0.00100977 -0.05135373 95 92 109 792
0.00149272 -0.05092334 95 92 109 785
0.00491294 -0.04931578 95 92 109 753
0.00585586 -0.04867347 95 92 109 760
0.00840041 -0.04721679 75 70 90 742
0.01421111 -0.04401293 75 70 90 789
0.01403612 -0.04407445 85 80 102 828
0.01484814 -0.04355838 85 80 102 810
0.01673400 -0.04243814 85 80 102 764
0.02101032 -0.04021484 94 86 110 850
0.02226047 -0.03937638 94 86 110 889
0.02475960 -0.03819216 94 86 110 825
0.02570311 -0.03755042 94 86 110 835
0.03750175 -0.03089118 95 82 110 853
0.03984814 -0.02939457 96 83 109 871
0.04112012 -0.02866594 96 83 109 810
0.04315987 -0.02769485 96 83 109 832
0.04881800 -0.02449851 90 82 103 742
0.05136121 -0.02305021 99 97 111 610
-0.01276213 -0.05784331 123 128 131 667
-0.00995578 -0.05646358 149 152 159 921
-0.00743306 -0.05489706 149 152 159 882
-0.00649013 -0.05441914 149 152 159 882
-0.00600776 -0.05415322 149 152 159 742
-0.00363894 -0.05276699 139 139 151 832
0.00076829 -0.05025242 139 139 151 821
0.00331341 -0.04896197 95 92 109 710
0.00579013 -0.04766671 95 92 109 721
0.00690938 -0.04695512 95 92 109 807
0.01111919 -0.04472110 75 70 90 750
0.01289657 -0.04334366 85 80 102 860
0.01399339 -0.04285048 85 80 102 867
0.01870800 -0.04029591 85 80 102 760
0.02182159 -0.03855562 94 86 110 846
0.02230454 -0.03828964 94 86 110 800
0.02620715 -0.03625111 94 86 110 764
0.02607624 -0.03604918 91 81 108 764
0.03000185 -0.03395723 91 81 108 864
0.03158106 -0.03303308 91 81 108 821
0.03300694 -0.03212478 95 82 110 835
0.03837951 -0.02907828 96 83 109 857
0.04373041 -0.02607746 96 83 109 850
0.04671310 -0.02446405 90 82 103 796
0.04750269 -0.02400199 90 82 103 842
0.05043994 -0.02249539 90 82 103 825
0.04908190 -0.02291344 90 82 103 825
-0.01377021 -0.05731567 123 128 131 1082
-0.01124942 -0.05608578 149 152 159 1196
-0.00809100 -0.05423749 149 152 159 967
-0.00776137 -0.05382357 149 152 159 910
-0.00618215 -0.05306383 139 139 151 778
-0.00276193 -0.05129124 139 139 151 850
0.00072554 -0.04919288 95 92 109 771
0.00603161 -0.04630005 95 92 109 721
0.00686663 -0.04573055 75 70 90 728
0.01723863 -0.03982353 85 80 102 725
0.01976076 -0.03858589 94 86 110 785
0.02697509 -0.03451885 91 81 108 742
0.02901484 -0.03338334 91 81 108 785
0.03136124 -0.03205113 91 81 108 864
0.03434333 -0.03060093 95 82 110 867
0.03454207 -0.03031325 95 82 110 857
0.03846767 -0.02789249 96 83 109 817
0.04177941 -0.02619277 96 83 109 853
0.04471667 -0.02452176 96 83 109 875
0.04945429 -0.02174933 90 82 103 885
0.05166843 -0.02071553 99 97 111 875
0.05199749 -0.02030104 99 97 111 878
-0.01528426 -0.05710682 123 128 131 1975
-0.01388080 -0.05658196 123 128 131 2800
-0.01416501 -0.05639523 123 128 131 2867
-0.01245491 -0.05567367 123 128 131 2350
-0.00881411 -0.05355883 149 152 159 967
