//U V R G B Intensity
0.00724216 0.06886780 95 83 97 514
0.00725000 0.06169512 64 46 60 210
0.00741186 0.05858055 77 54 70 478
0.01539902 0.05510247 104 84 96 550
0.00694028 0.05678575 77 54 70 678
0.00638401 0.05667241 77 54 70 628
0.00393528 0.05723687 76 54 75 528
0.01627147 0.05378098 104 84 96 689
0.01144640 0.05466604 92 70 83 953
0.01041855 0.05492093 77 54 70 978
0.00219683 0.05656437 76 54 75 696
0.02101631 0.05187490 82 61 76 796
0.01611269 0.05285731 71 47 63 878
0.00986674 0.05405193 80 53 72 882
0.00583389 0.05475792 80 53 72 853
0.00464864 0.05520788 70 42 64 867
0.00211660 0.05532714 70 42 64 825
0.02212439 0.05069381 82 61 76 875
0.01619293 0.05193152 71 47 63 921
0.01437286 0.05214926 77 50 67 853
0.00876173 0.05335905 80 53 72 871
-0.00009451 0.05498737 77 52 74 878
-0.00294242 0.05546000 77 52 74 839
0.02584138 0.04904262 112 94 108 810
0.02497092 0.04910327 112 94 108 821
0.02378568 0.04933660 112 94 108 867
0.02267928 0.04947261 82 61 76 892
0.01595560 0.05067276 71 47 63 914
0.01350687 0.05145343 77 50 67 864
0.00472719 0.05273046 70 42 64 989
-0.00420760 0.05467235 76 53 73 971
0.02702801 0.04776418 112 94 108 882
0.02607870 0.04792172 112 94 108 839
0.01801299 0.04933412 71 47 63 896
0.01366565 0.05021324 77 50 67 821
0.01153110 0.05060411 77 50 67 860
0.01066034 0.05088053 77 50 67 875
0.00860464 0.05139072 80 53 72 950
0.00662748 0.05158693 80 53 72 1025
0.00354393 0.05213538 70 42 64 1007
0.00259463 0.05250915 70 42 64 942
0.00093334 0.05256862 77 52 74 892
-0.00017305 0.05292087 77 52 74 853
-0.00539145 0.05386013 76 53 73 942
-0.00839646 0.05452746 78 57 74 746
0.03090269 0.04591920 132 118 131 882
0.02773999 0.04656410 112 94 108 989
0.02473498 0.04701520 112 94 108 792
0.02141579 0.04785652 82 61 76 932
0.01951718 0.04795539 82 61 76 889
0.01643333 0.04871960 71 47 63 846
0.01564142 0.04889912 71 47 63 835
0.00939516 0.04987707 80 53 72 975
0.00109490 0.05161745 70 42 64 885
0.03185338 0.04471572 79 65 78 850
0.03106117 0.04467857 79 65 78 921
0.02987592 0.04491148 79 65 78 946
0.02268097 0.04648032 70 47 63 871
0.01975451 0.04705029 70 47 63 910
0.01841217 0.04726250 76 49 66 871
0.01461495 0.04789267 76 49 66 864
0.00520660 0.04994886 67 35 56 971
0.00441469 0.04991216 82 50 73 917
-0.00182987 0.05114276 70 40 64 942
-0.00657640 0.05193048 63 35 57 875
-0.01495690 0.05373177 73 50 68 803
0.03161605 0.04367359 79 65 78 860
0.02742580 0.04457424 70 52 66 875
0.02529156 0.04496556 70 52 66 917
0.02323585 0.04525912 70 52 66 896
0.02038794 0.04594838 70 47 63 878
0.01295675 0.04737591 74 45 63 914
0.00884534 0.04817926 67 35 56 1060
0.00766010 0.04841257 67 35 56 985
-0.00333069 0.05043135 70 40 64 1014
-0.00427999 0.05058889 70 40 64 950
-0.00894797 0.05149548 68 43 64 914
-0.01029031 0.05192349 68 43 64 907
-0.01123961 0.05208104 68 43 64 950
-0.01424492 0.05253169 73 50 68 885
0.03572914 0.04182518 106 94 106 800
0.02758458 0.04355069 70 52 66 839
0.01722693 0.04533197 76 49 66 889
0.01398628 0.04607554 76 49 66 907
0.00979603 0.04697659 74 45 63 1007
0.00892528 0.04703638 67 35 56 1064
0.00623475 0.04753098 67 35 56 1000
0.00504951 0.04776430 67 35 56 985
0.00101804 0.04850628 82 50 73 960
0.03612664 0.04079822 106 94 106 907
0.03422803 0.04132953 106 94 106 878
0.02988099 0.04199289 79 65 78 871
0.02908878 0.04217195 79 65 78 875
0.02821802 0.04223215 79 65 78 825
0.02070827 0.04375702 70 47 63 875
0.01295675 0.04521206 74 45 63 960
0.00093781 0.04748568 82 50 73 899
-0.01582259 0.05087296 73 50 68 932
-0.01685044 0.05112826 73 50 68 921
0.03422972 0.04028445 88 76 90 875
0.02292276 0.04243950 73 52 69 846
0.01375035 0.04398787 68 39 59 953
0.00781888 0.04522559 82 49 70 932
-0.00111621 0.04695039 77 43 68 971
-0.01123822 0.04865585 71 43 65 925
-0.01447887 0.04961604 69 44 63 932
-0.01534963 0.04967583 69 44 63 896
0.02363473 0.04123983 73 52 69 817
0.01651833 0.04249469 68 39 59 946
0.01145732 0.04345553 76 43 64 921
0.00528991 0.04455239 82 49 70 953
0.00323421 0.04506258 85 50 74 885
0.00015205 0.04586365 85 50 74 899
-0.00467302 0.04653249 77 43 68 925
-0.01779975 0.04890573 69 44 63 842
-0.01906354 0.04923641 66 45 60 892
-0.02024878 0.04968595 66 45 60 885
-0.02317524 0.05003970 66 45 60 1064
0.04221688 0.03658974 150 144 156 917
0.04111049 0.03672576 150 144 156 1017
0.03889769 0.03743106 112 104 117 1021
0.03794839 0.03737238 112 104 117 964
0.03589269 0.03788216 88 76 90 867
0.03391553 0.03829460 88 76 90 857
0.02869713 0.03923387 73 56 72 950
0.02474282 0.04005874 73 52 69 839
0.01983921 0.04082493 69 44 63 857
0.01857572 0.04115606 69 44 63 853
0.01430662 0.04215359 68 39 59 903
0.01367180 0.04192220 68 39 59 889
0.01130161 0.04260511 76 43 64 857
0.00916737 0.04299643 76 43 64 817
0.00853224 0.04297998 82 49 70 864
0.00418520 0.04385996 82 49 70 964
0.00023198 0.04472077 85 50 74 882
-0.00032400 0.04460829 77 43 68 960
-0.00158778 0.04493897 77 43 68 899
-0.00261593 0.04519340 77 43 68 925
-0.00451454 0.04550848 77 43 68 957
-0.00554239 0.04554716 72 40 63 1000
-0.00688443 0.04597563 72 40 63 1000
-0.00846886 0.04633376 72 40 63 935
-0.01178805 0.04695845 71 43 65 975
-0.01305184 0.04728912 71 43 65 953
-0.01487190 0.04750686 69 44 63 932
-0.01882621 0.04811551 66 45 60 878
-0.02103930 0.04881994 66 45 60 942
-0.02285937 0.04903726 66 45 60 1053
0.03850327 0.03615077 112 104 117 1050
0.03557681 0.03672075 88 76 90 899
0.03059435 0.03780088 73 56 72 853
0.02640410 0.03848489 73 52 69 899
0.02142194 0.03934884 69 44 63 807
0.01723169 0.04024949 68 39 59 782
0.01383365 0.04097148 68 39 59 842
0.00987934 0.04179634 76 43 64 875
0.00805928 0.04201408 82 49 70 921
0.00189187 0.04311095 85 50 74 896
-0.00617245 0.04477596 72 40 63 978
-0.01328916 0.04624658 71 43 65 1010
-0.01550226 0.04651857 69 44 63 889
-0.02017023 0.04742516 66 45 60 953
-0.02151227 0.04785364 66 45 60 953
-0.02222593 0.04793535 66 45 60 1021
-0.02475321 0.04838051 72 54 66 996
0.04475061 0.03412726 150 144 156 2478
0.04300910 0.03446386 150 144 156 1307
0.03249435 0.03643985 88 76 90 910
0.02355788 0.03812907 73 52 69 792
0.02047433 0.03867753 69 44 63 867
0.01090888 0.04049637 76 43 64 910
0.01011667 0.04067504 76 43 64 910
0.00901027 0.04102769 76 43 64 957
0.00726876 0.04114767 82 49 70 910
-0.00403652 0.04355619 77 43 68 882
-0.00593513 0.04387128 72 40 63 1014
-0.00696298 0.04390995 72 40 63 985
-0.00917607 0.04439775 72 40 63 910
-0.01202398 0.04487038 71 43 65 1032
-0.01605714 0.04557633 69 44 63 807
-0.02009000 0.04628273 66 45 60 946
-0.02538665 0.04753603 72 54 66 1028
-0.02657159 0.04776940 72 54 66 1039
0.04664754 0.03247759 143 140 151 8803
0.04538405 0.03280872 143 140 151 7228
0.04451329 0.03308513 183 180 191 4692
0.03518348 0.03482775 101 90 104 1000
0.03312778 0.03533794 101 90 104 950
0.02909493 0.03604394 65 51 66 942
0.02806707 0.03608261 65 51 66 903
0.02703922 0.03633749 65 51 66 903
0.02197822 0.03729833 69 48 65 746
0.01177795 0.03931783 76 43 64 875
0.00869440 0.04008290 76 43 64 971
0.00640246 0.04045179 73 38 62 910
0.00450385 0.04076687 73 38 62 989
0.00126321 0.04151044 78 40 65 896
-0.01471004 0.04439229 75 46 68 928
-0.01542371 0.04447400 72 47 66 867
-0.01747941 0.04476757 72 47 66 903
-0.01889999 0.04529380 72 47 66 921
-0.02064151 0.04541378 74 53 70 978
-0.02665182 0.04653217 76 60 73 1071
0.04672777 0.03155139 143 140 151 13010
0.04554283 0.03200138 143 140 151 11103
0.04459352 0.03215893 183 180 191 7932
0.04325119 0.03237073 183 180 191 4635
0.03826872 0.03323422 151 143 156 1107
0.03344366 0.03411928 101 90 104 1071
0.02917516 0.03490151 65 51 66 925
0.02617015 0.03556925 69 48 65 932
0.01399243 0.03800070 79 50 70 721
0.01067294 0.03862494 76 43 64 896
0.00964509 0.03887984 76 43 64 903
0.00782503 0.03909757 73 38 62 896
0.00561194 0.03958579 73 38 62 903
-0.00213791 0.04107766 80 44 70 839
-0.00300866 0.04113746 80 44 70 899
-0.00553594 0.04158303 80 44 70 1078
-0.00617076 0.04178408 80 46 70 1078
-0.02459443 0.04519353 76 60 73 1221
-0.02577968 0.04542685 76 60 73 1235
-0.03266045 0.04682169 76 63 73 5035
0.04910272 0.03011245 113 110 121 7196
0.04815342 0.03048621 143 140 151 11767
0.04625481 0.03058508 143 140 151 15067
0.04522696 0.03083997 143 140 151 13653
0.04412056 0.03119262 183 180 191 10696
0.04206456 0.03148614 183 180 191 4085
0.04111525 0.03164369 183 180 191 2478
0.03700355 0.03244657 151 143 156 1100
0.02893783 0.03407560 65 51 66 903
0.02142809 0.03560048 69 48 65 832
0.00735176 0.03813081 73 38 62 867
0.00442531 0.03870079 73 38 62 953
0.00339745 0.03895567 73 38 62 939
-0.00767188 0.04107220 80 46 70 978
-0.01059864 0.04142550 75 46 68 1017
-0.01281144 0.04213039 75 46 68 964
-0.01889999 0.04313037 72 47 66 982
-0.02024263 0.04355793 74 53 70 1010
-0.02617410 0.04457901 76 60 73 1250
-0.03131335 0.04563806 76 63 73 7442
-0.03249859 0.04587098 76 63 73 9639
0.04633504 0.02965928 143 140 151 17282
0.04522834 0.02979485 143 140 151 16910
0.04412195 0.03014709 183 180 191 14514
0.04301525 0.03028265 183 180 191 10992
0.04190885 0.03063531 183 180 191 7410
0.04088100 0.03067398 183 180 191 4414
0.03993170 0.03104815 183 180 191 2700
0.03684814 0.03159660 151 143 156 1228
0.03202307 0.03248166 101 90 104 1035
0.03115231 0.03254185 101 90 104 957
0.02063757 0.03451784 78 53 72 889
0.01763256 0.03518558 78 53 72 885
0.01367825 0.03579463 79 50 70 817
0.01233561 0.03622179 79 50 70 864
0.01130776 0.03647709 76 43 64 860
0.01067294 0.03646151 76 43 64 899
0.00648269 0.03714593 73 38 62 932
0.00102896 0.03837770 78 40 65 982
-0.00553594 0.03941959 80 44 70 971
-0.00743455 0.03995130 80 46 70 957
-0.00885544 0.04026005 80 46 70 953
-0.01265265 0.04089022 75 46 68 985
-0.01383760 0.04134062 75 46 68 1032
-0.01913454 0.04237684 72 47 66 1053
-0.02585822 0.04336076 76 60 73 1225
-0.03036266 0.04443499 76 63 73 7182
-0.03131196 0.04459254 76 63 73 11314
-0.03218272 0.04465232 76 63 73 13832
-0.03305318 0.04471297 76 63 73 13935
-0.03447436 0.04523829 136 124 134 10867
-0.03542367 0.04539583 136 124 134 6928
0.04989493 0.02798658 136 134 147 10735
0.04768184 0.02847479 172 170 183 17014
0.04657514 0.02882699 172 170 183 18314
0.04562584 0.02898453 172 170 183 18807
0.04475538 0.02904477 172 170 183 18939
0.04364868 0.02918074 193 191 204 17282
0.04269938 0.02933829 193 191 204 13928
0.04151443 0.02978787 193 191 204 10535
0.04056513 0.02994541 193 191 204 7007
0.03368436 0.03112445 153 142 158 1039
0.03234202 0.03155247 153 142 158 1003
0.03162866 0.03141801 153 142 158 942
0.02720247 0.03239444 99 85 102 860
