//U V R G B Intensity
0.01192373 0.06316870 144 93 102 989
0.01383744 0.06180854 144 93 102 557
0.00687544 0.06265484 115 75 83 557
0.00639932 0.06273279 115 75 83 475
0.00599947 0.06207247 115 75 83 314
0.01019912 0.06036308 127 80 88 1014
0.00695173 0.06084200 115 75 83 703
0.00594132 0.05899404 108 70 83 478
0.00967405 0.05803415 117 74 84 989
0.00879808 0.05809670 117 74 84 1732
0.00792211 0.05837408 117 74 84 1553
0.00864522 0.05763801 117 74 84 1575
0.00769296 0.05714898 117 74 84 1214
0.01228354 0.05585931 132 84 96 417
0.01165484 0.05612435 132 84 96 535
0.00651185 0.05694040 117 74 84 857
0.00540703 0.05728339 108 70 83 664
0.00445478 0.05743929 108 70 83 560
0.01489332 0.05475993 132 84 96 585
0.00889249 0.05612100 117 74 84 1075
0.00809280 0.05608979 117 74 84 1082
0.00776954 0.05619635 117 74 84 1003
0.00666442 0.05632363 117 74 84 864
0.00626458 0.05652307 108 70 83 825
0.00420750 0.05680712 108 70 83 617
0.00279754 0.05709382 108 70 83 582
0.01395919 0.05475297 111 70 84 685
0.00675913 0.05585348 106 68 81 932
0.00603573 0.05594376 100 68 83 782
0.00517818 0.05627401 100 68 83 753
0.00239770 0.05664835 100 68 83 675
0.00936861 0.05496806 106 68 81 1003
0.00866364 0.05511161 106 68 81 975
0.00754039 0.05518651 106 68 81 953
0.00500719 0.05576333 100 68 83 875
0.00357881 0.05599717 100 68 83 800
0.00224484 0.05619006 100 68 83 817
0.01253973 0.05393839 111 70 84 739
0.00873992 0.05458819 106 68 81 982
0.00746411 0.05485017 106 68 81 896
0.00706427 0.05483478 106 68 81 935
0.00517818 0.05519942 100 68 83 864
0.00114001 0.05588773 95 68 87 803
0.00057839 0.05603279 95 68 87 789
0.01310135 0.05314841 111 70 84 850
0.01300694 0.05297453 111 70 84 828
0.00929233 0.05377199 106 68 81 921
0.00034954 0.05545349 95 68 87 842
0.01823512 0.05187565 120 78 92 896
0.01634874 0.05223982 120 78 92 889
0.01049186 0.05317367 111 70 84 850
0.00580687 0.05385980 100 68 83 907
0.00193970 0.05484394 100 68 83 864
0.00004411 0.05518189 95 68 87 910
-0.00130799 0.05532239 95 68 87 842
0.01500585 0.05197687 120 78 92 850
0.01009202 0.05272819 106 68 81 842
0.00675913 0.05327382 106 68 81 882
0.00264468 0.05405588 100 68 83 950
0.00058760 0.05455477 95 68 87 946
-0.00186040 0.05506360 95 68 87 925
-0.00311779 0.05516361 95 68 87 825
0.02292011 0.04990011 128 84 99 803
0.02126258 0.05019868 128 84 99 875
0.02046319 0.05038318 128 84 99 910
0.01531099 0.05117301 120 78 92 910
0.01342490 0.05175290 111 70 84 914
0.01310135 0.05164375 111 70 84 903
0.01136783 0.05203654 111 70 84 882
0.00660656 0.05281600 106 68 81 910
-0.00226024 0.05440329 95 68 87 928
-0.00288894 0.05466833 95 68 87 907
0.01683408 0.05046860 120 78 92 825
0.01317763 0.05112032 111 70 84 950
0.00971030 0.05190544 106 68 81 807
0.00923417 0.05198339 106 68 81 828
0.00012960 0.05361011 95 68 87 932
-0.00027945 0.05356808 95 68 87 964
-0.00248910 0.05403882 95 68 87 957
0.02522446 0.04852872 131 89 103 850
0.02307268 0.04863842 128 84 99 825
0.02189157 0.04907435 128 84 99 899
0.02126258 0.04912409 128 84 99 853
0.01627246 0.05018400 120 78 92 889
0.01096798 0.05094614 111 70 84 853
0.00765322 0.05175941 106 68 81 932
0.00574871 0.05207120 106 68 81 971
0.00504344 0.05221387 100 68 83 978
0.00471988 0.05231997 100 68 83 914
0.00035846 0.05290000 95 68 87 935
-0.00153684 0.05323801 95 68 87 928
-0.00193668 0.05343745 95 68 87 932
-0.00446989 0.05379944 112 81 97 946
-0.00715595 0.05434766 112 81 97 971
-0.00793722 0.05458415 112 81 97 939
-0.00818449 0.05459690 120 74 84 892
0.02419592 0.04813346 109 75 91 882
0.02189157 0.04842984 110 73 90 871
0.01778633 0.04945296 100 66 83 882
0.01668151 0.04958112 100 66 83 878
0.01508214 0.04973395 100 66 83 907
0.00891061 0.05079965 98 67 83 864
0.00155798 0.05230169 95 66 84 1025
0.00138700 0.05222069 95 66 84 921
-0.00136585 0.05288935 97 69 92 942
-0.00438439 0.05330225 97 68 90 953
-0.00723224 0.05379609 97 68 90 950
0.01636716 0.04906852 100 66 83 867
0.01619617 0.04898752 100 66 83 846
0.01541490 0.04922441 100 66 83 832
0.01476779 0.04922136 100 66 83 875
0.01216722 0.04970246 96 63 80 846
0.00780579 0.05049773 98 67 83 899
0.00654811 0.05102694 98 67 83 982
0.00511972 0.05104553 95 66 84 1021
0.00020589 0.05201211 97 69 92 946
-0.00367020 0.05275565 97 68 90 1000
-0.00683240 0.05338182 97 68 90 946
-0.00778465 0.05353771 97 68 90 917
-0.01031786 0.05389930 102 66 80 792
-0.01189910 0.05410453 102 66 80 703
0.02949147 0.04605531 116 85 100 860
0.02870992 0.04629174 116 85 100 914
0.02705268 0.04659078 109 75 91 932
0.02190969 0.04762248 110 73 90 857
0.01161481 0.04944407 96 63 80 896
0.00923417 0.04961897 98 67 83 896
0.00828192 0.04998970 98 67 83 960
0.00607198 0.05045997 98 67 83 1000
0.00574871 0.05035129 98 67 83 1010
0.00125284 0.05138564 95 66 84 939
-0.00113700 0.05174915 97 69 92 914
-0.00603271 0.05255286 97 68 90 967
-0.00690868 0.05283024 97 68 90 867
-0.00864249 0.05300774 102 66 80 857
0.02848106 0.04571244 116 85 100 971
0.02672912 0.04605196 109 75 91 1050
0.02333808 0.04674332 109 75 91 914
0.01897665 0.04732335 110 73 90 950
0.01747198 0.04765095 100 66 83 814
0.01714842 0.04775663 100 66 83 875
0.01407173 0.04831609 100 66 83 871
0.01177659 0.04885353 96 63 80 889
0.01090062 0.04891608 96 63 80 878
0.00140541 0.05055404 95 66 84 896
-0.00422262 0.05163711 97 68 90 1000
-0.00666170 0.05217253 97 68 90 978
-0.00793722 0.05243498 97 68 90 864
-0.00974732 0.05270541 102 66 80 871
-0.01087056 0.05299554 102 66 80 796
-0.01498471 0.05377807 116 71 78 771
0.02966217 0.04506086 116 85 100 857
0.02634741 0.04565929 109 75 91 1007
0.02587128 0.04573723 109 75 91 1000
0.02429033 0.04615776 109 75 91 964
0.01645236 0.04749627 100 66 83 928
0.01447157 0.04790181 100 66 83 860
0.00940487 0.04862452 98 67 83 885
0.00830005 0.04918234 98 67 83 971
0.00797649 0.04885836 98 67 83 982
0.00679538 0.04929469 98 67 83 975
0.00291008 0.05001161 95 66 84 935
-0.00334694 0.05114443 97 69 92 1000
-0.00690868 0.05175566 97 68 90 932
-0.00841335 0.05208285 102 66 80 864
-0.00919491 0.05231928 102 66 80 903
-0.00982360 0.05236908 102 66 80 882
0.02602385 0.04512006 109 75 91 967
0.00940487 0.04819484 98 67 83 882
-0.00079532 0.05019079 97 69 92 1007
-0.00982360 0.05172417 102 66 80 946
-0.01047072 0.05193635 102 66 80 864
-0.01370890 0.05244150 116 71 78 850
-0.01441418 0.05279901 116 71 78 860
-0.01591884 0.05291136 116 71 78 842
0.03093798 0.04372428 116 85 100 842
0.02863363 0.04423551 116 85 100 864
0.02461389 0.04497708 109 75 91 903
0.02064309 0.04554587 110 73 90 864
0.01993811 0.04590467 110 73 90 846
0.01938541 0.04607549 110 73 90 807
0.00410961 0.04876838 95 66 84 1021
0.00142354 0.04931661 95 66 84 953
0.00102370 0.04930120 95 66 84 978
-0.00603271 0.05040329 97 68 90 996
-0.00673799 0.05076121 97 68 90 903
-0.00713783 0.05074581 97 68 90 878
-0.01109020 0.05158271 102 66 80 875
-0.01394697 0.05205039 116 71 78 875
-0.01442309 0.05212834 116 71 78 821
-0.01560449 0.05234937 116 71 78 925
-0.01726173 0.05264840 116 71 78 846
-0.01806141 0.05283244 124 71 67 853
0.02983286 0.04342190 116 85 100 842
0.02935674 0.04349985 116 85 100 842
0.02248023 0.04492393 110 73 90 871
0.00656652 0.04785563 98 67 83 1039
0.00443287 0.04823216 95 66 84 1021
0.00426217 0.04815161 95 66 84 982
0.00285192 0.04843785 95 66 84 1021
0.00039500 0.04892134 95 66 84 1017
-0.00134802 0.04928702 97 69 92 932
-0.00230027 0.04922809 97 69 92 910
-0.00443364 0.04982032 97 68 90 1017
-0.00887135 0.05070852 102 66 80 946
-0.01228052 0.05113266 102 66 80 878
-0.01765265 0.05222910 116 71 78 925
0.02990944 0.04289894 116 85 100 867
0.02872804 0.04311957 116 85 100 850
0.02531887 0.04375894 109 75 91 878
0.02413776 0.04398045 109 75 91 860
0.02262388 0.04428099 110 73 90 907
0.02128991 0.04468872 110 73 90 885
0.01805144 0.04519339 110 73 90 946
0.01614693 0.04550518 100 66 83 903
0.01464226 0.04583277 100 66 83 857
0.01273776 0.04614456 96 63 80 875
0.00949957 0.04664929 96 63 80 957
0.00601411 0.04738201 98 67 83 1064
0.00553799 0.04745996 98 67 83 989
0.00395674 0.04788043 95 66 84 1035
-0.00040468 0.04867530 97 69 92 960
-0.00388122 0.04921895 97 69 92 950
-0.01036710 0.05041696 102 66 80 867
-0.01125198 0.05045334 102 66 80 985
-0.01243338 0.05088921 102 66 80 939
-0.01583335 0.05133998 116 71 78 992
-0.01781414 0.05174511 116 71 78 914
0.03404172 0.04173914 111 93 105 767
0.03078512 0.04219142 92 68 84 878
0.02802306 0.04283304 92 68 84 814
0.02413776 0.04333512 91 62 80 892
0.02366163 0.04341307 91 62 80 892
0.01194728 0.04549466 90 65 84 953
0.01139487 0.04588120 90 65 84 1021
0.00269906 0.04733465 90 67 87 939
-0.00127144 0.04811915 98 72 99 946
-0.00418636 0.04873298 98 72 99 1057
-0.00475719 0.04863658 96 67 95 1092
-0.00791909 0.04926280 96 67 95 950
-0.00965291 0.04965513 98 69 89 946
-0.01709995 0.05098327 103 73 85 946
-0.02121440 0.05176534 101 69 72 853
0.03720391 0.04046805 142 130 140 892
0.02010881 0.04362039 100 69 87 810
0.01519468 0.04458649 94 65 85 882
0.01290874 0.04493532 90 65 84 846
0.01266147 0.04516291 90 65 84 885
0.01005198 0.04540300 90 65 84 1007
0.00949957 0.04578954 90 65 84 989
0.00719522 0.04608593 93 70 88 1032
0.00420402 0.04657785 90 67 87 1028
0.00252836 0.04682444 90 67 87 917
0.00149982 0.04707368 90 67 87 914
-0.00569103 0.04863008 96 67 95 989
-0.00957662 0.04913170 98 69 89 975
-0.01265332 0.04990600 98 69 89 953
-0.01867198 0.05100030 101 69 72 964
-0.01891926 0.05101264 101 69 72 975
-0.02042392 0.05112499 101 69 72 860
0.03688036 0.03992923 142 130 140 899
0.03379474 0.04067736 111 93 105 825
0.03087982 0.04107593 92 68 84 867
0.03055626 0.04118162 92 68 84 889
0.02350906 0.04252558 91 62 80 839
0.01828950 0.04343492 100 69 87 839
0.01575630 0.04401175 94 65 85 964
0.01495661 0.04398055 94 65 85 892
0.01345195 0.04430773 90 65 84 885
0.01204198 0.04459443 90 65 84 921
0.00759506 0.04545641 93 70 88 1010
0.00530884 0.04580519 93 70 88 989
-0.00190043 0.04730874 98 72 99 960
-0.00521490 0.04790763 96 67 95 992
-0.00616716 0.04806352 96 67 95 939
-0.00656700 0.04804772 96 67 95 971
-0.00870065 0.04842465 96 67 95 1007
-0.00917678 0.04850260 98 69 89 960
-0.00988176 0.04886098 98 69 89 1071
-0.01986230 0.05055026 101 69 72 939
-0.02018586 0.05044111 101 69 72 950
0.03807988 0.03933092 142 130 140 982
0.03760376 0.03940887 142 130 140 1025
0.03682220 0.03964531 142 130 140 871
0.03649864 0.03975139 142 130 140 960
0.03388915 0.04020632 111 93 105 853
0.03183208 0.04048996 111 93 105 846
0.02912788 0.04098579 92 68 84 899
0.02747065 0.04128483 92 68 84 864
0.01709919 0.04319971 94 65 85 960
