//U V R G B Intensity
0.02504323 -0.05316795 192 196 205 9253
0.02426987 -0.05325938 192 196 205 9735
0.02306530 -0.05369961 195 198 207 10550
0.02207665 -0.05386154 195 198 207 10278
0.02182329 -0.05403759 195 198 207 9778
0.02104992 -0.05433674 195 198 207 9792
0.02006129 -0.05470657 195 198 207 9778
0.01817253 -0.05525572 198 198 206 10278
0.01739917 -0.05555506 198 198 206 10696
0.01511730 -0.05613952 198 198 206 11900
0.01425527 -0.05662888 199 198 206 11600
0.02705860 -0.05190727 193 195 207 10607
0.02650064 -0.05213604 192 196 205 10932
0.02473864 -0.05280502 192 196 205 11260
0.02426987 -0.05305166 192 196 205 11453
0.02276123 -0.05333667 192 196 205 12264
0.02198788 -0.05363601 195 198 207 12521
0.01928792 -0.05459010 195 198 207 12139
0.01783039 -0.05499855 198 198 206 12285
0.01571310 -0.05580476 198 198 206 13032
0.01533311 -0.05586110 198 198 206 13560
0.01447109 -0.05614275 199 198 206 13585
0.01340640 -0.05630821 199 198 206 12414
0.01103574 -0.05729049 199 198 206 10885
0.01065563 -0.05734692 197 197 205 10400
0.02946681 -0.05081925 193 195 207 9200
0.02878264 -0.05113607 193 195 207 10517
0.02748941 -0.05155860 193 195 207 11810
0.02396540 -0.05268886 192 196 205 12842
0.02401650 -0.05260419 192 196 205 13235
0.02225450 -0.05327317 195 198 207 13560
0.01804579 -0.05451234 198 198 206 13260
0.01684174 -0.05495256 198 198 206 13775
0.01628379 -0.05518153 198 198 206 14096
0.01529514 -0.05555117 198 198 206 14789
0.01378651 -0.05583637 199 198 206 14860
0.01193573 -0.05669544 199 198 206 13028
0.01139091 -0.05673753 199 198 206 12017
0.03097544 -0.05011842 193 195 207 9389
0.02968262 -0.05033312 193 195 207 10389
0.02740062 -0.05112518 193 195 207 13296
0.02547403 -0.05178031 192 196 205 13971
0.02340785 -0.05250186 192 196 205 14864
0.02143003 -0.05303365 195 198 207 15510
0.02148114 -0.05315688 195 198 207 14864
0.01903455 -0.05393491 195 198 207 14507
0.01795713 -0.05428694 198 198 206 14646
0.01567513 -0.05507920 198 198 206 15085
0.01520637 -0.05511773 198 198 206 15878
0.01443313 -0.05541718 199 198 206 16217
0.01254438 -0.05596633 199 198 206 14860
0.01259508 -0.05608971 199 198 206 14064
0.01151766 -0.05644173 199 198 206 13557
0.01061766 -0.05662116 197 197 205 13346
0.00885567 -0.05729034 197 197 205 13114
0.00777824 -0.05764236 197 197 205 12260
0.00709366 -0.05775140 197 197 205 11357
0.03264879 -0.04901632 196 198 210 8825
0.02989802 -0.05005482 192 194 206 11542
0.02942926 -0.05009356 192 194 206 12789
0.02822468 -0.05053359 192 194 206 14099
0.02775591 -0.05057232 192 194 206 14721
0.02667849 -0.05092434 192 194 206 15357
0.02568944 -0.05129431 190 194 203 15164
0.02500515 -0.05140311 190 194 203 15842
0.02392731 -0.05196318 190 194 203 16182
0.02216531 -0.05242425 193 196 205 16625
0.01696837 -0.05424104 196 196 204 16089
0.01701919 -0.05415662 196 196 204 16578
0.01542177 -0.05483964 196 196 204 16950
0.01473718 -0.05494867 196 196 204 17189
0.01203753 -0.05590272 199 198 206 15121
0.01006012 -0.05643436 199 199 207 15310
0.00855149 -0.05692727 199 199 207 15232
0.00820905 -0.05708578 199 199 207 14750
0.00700489 -0.05752588 199 199 207 13964
0.03363785 -0.04843844 196 198 210 9271
0.03182473 -0.04898437 196 198 210 10025
0.03218002 -0.04884714 196 198 210 10800
0.03079801 -0.04945978 196 198 210 12021
0.03050668 -0.04932590 192 194 206 12657
0.02973332 -0.04962504 192 194 206 14007
0.02835142 -0.05023780 192 194 206 15400
0.02736267 -0.05039961 192 194 206 16010
0.02637402 -0.05076945 192 194 206 16353
0.02620931 -0.05075530 190 194 203 16492
0.02383865 -0.05152986 190 194 203 17542
0.02284989 -0.05189958 190 194 203 17750
0.02238112 -0.05214602 190 194 203 18125
0.02014994 -0.05285367 193 196 205 16857
0.01693041 -0.05393110 196 196 204 17696
0.01594177 -0.05409302 196 196 204 17800
0.01473718 -0.05453305 196 196 204 18117
0.01349505 -0.05487093 199 198 206 18228
0.01220223 -0.05529333 199 198 206 17385
0.01156876 -0.05552582 199 198 206 16260
0.01057971 -0.05589559 199 199 207 16575
0.00851352 -0.05661734 199 199 207 16303
0.00774027 -0.05691660 199 199 207 15310
0.00637141 -0.05713483 197 197 205 12971
0.00468492 -0.05800820 197 197 205 11510
0.00421615 -0.05804673 197 197 205 10221
0.03453742 -0.04784353 200 199 213 9117
0.03415743 -0.04789987 196 198 210 10407
0.03308000 -0.04825190 196 198 210 10857
0.03110219 -0.04878348 196 198 210 12707
0.02788265 -0.04986090 192 194 206 17050
0.02658942 -0.05028344 192 194 206 17342
0.02633605 -0.05045951 192 194 206 18017
0.02534729 -0.05082903 190 194 203 18125
0.02414312 -0.05106122 190 194 203 18125
0.02268531 -0.05146991 190 194 203 18628
0.02160789 -0.05202965 193 196 205 18800
0.01998565 -0.05242375 193 196 205 18285
0.01847701 -0.05291667 193 196 205 18228
0.01753905 -0.05320198 196 196 204 18796
0.01486393 -0.05423727 196 196 204 19275
0.01439504 -0.05427588 196 196 204 19096
0.01293763 -0.05489196 199 198 206 18621
0.01255752 -0.05494839 199 198 206 17746
0.01027552 -0.05553274 199 198 206 17692
0.00950229 -0.05583199 199 199 207 17639
0.00851352 -0.05620172 199 199 207 17382
0.00856421 -0.05611718 199 199 207 16946
0.00529358 -0.05727908 197 197 205 13675
0.00405144 -0.05761695 197 197 205 11167
0.00336728 -0.05793377 197 197 205 10035
0.03437324 -0.04741374 196 198 210 11221
0.03313111 -0.04775160 196 198 210 12846
0.03115330 -0.04849110 196 198 210 14942
0.03007587 -0.04884313 192 194 206 16014
0.02840253 -0.04932189 192 194 206 18071
0.02710930 -0.04974442 192 194 206 18403
0.02694459 -0.04973027 192 194 206 18632
0.02534729 -0.05041340 190 194 203 19039
0.02496718 -0.05046963 190 194 203 19346
0.02367394 -0.05089217 190 194 203 18921
0.02264776 -0.05136755 190 194 203 19592
0.02144318 -0.05159988 193 196 205 19532
0.01989657 -0.05219848 193 196 205 19035
0.01942781 -0.05223721 193 196 205 19100
0.01835039 -0.05279695 193 196 205 19532
0.01714581 -0.05302927 196 196 204 19528
0.01637257 -0.05332873 196 196 204 19464
0.01568828 -0.05343772 196 196 204 19982
0.01491503 -0.05373698 196 196 204 19653
0.01216427 -0.05456777 199 198 206 19153
0.01169550 -0.05481421 199 198 206 19275
0.01092214 -0.05511355 199 198 206 18853
0.00971769 -0.05534599 199 199 207 18392
0.00842487 -0.05576839 199 199 207 18278
0.00817150 -0.05594446 199 199 207 18335
0.00770220 -0.05619092 199 199 207 17692
0.00619355 -0.05647612 199 199 207 16800
0.00602938 -0.05666967 197 197 205 15957
0.00443155 -0.05714510 197 197 205 14892
0.00457144 -0.05707825 197 197 205 13200
0.00318942 -0.05769089 197 197 205 12485
0.00228944 -0.05787031 197 197 205 11446
0.03583065 -0.04658954 200 199 213 7878
0.03536188 -0.04662827 200 199 213 9535
0.03385325 -0.04712119 200 199 213 11410
0.03381528 -0.04722688 196 198 210 12953
0.03304204 -0.04752633 196 198 210 13910
0.03214194 -0.04770564 196 198 210 14903
0.03158452 -0.04793458 196 198 210 15400
0.02969576 -0.04848373 192 194 206 17200
0.02814917 -0.04908233 192 194 206 18632
0.02586717 -0.04987459 192 194 206 19164
0.02363639 -0.05058210 190 194 203 19721
0.02243194 -0.05081454 190 194 203 19592
0.02208979 -0.05118090 193 196 205 20253
0.02149428 -0.05109959 193 196 205 19657
0.01959239 -0.05183563 193 196 205 19653
0.01973228 -0.05176857 193 196 205 19467
0.01658838 -0.05284260 196 196 204 19589
0.01620827 -0.05289882 196 196 204 19785
0.01482625 -0.05351145 196 196 204 19914
0.01284844 -0.05404323 199 198 206 20246
0.01207561 -0.05434237 199 198 206 20246
0.01212631 -0.05425783 199 198 206 19650
0.01061766 -0.05475075 199 198 206 19782
0.01045297 -0.05494450 199 198 206 19028
