//U V R G B Intensity
0.00664005 0.06868869 83 69 84 625
0.00678473 0.06516631 111 98 115 296
0.01265637 0.06221537 113 93 104 667
0.01243348 0.05720468 87 65 78 353
0.01583309 0.05544691 110 88 101 432
0.01416682 0.05569141 87 65 78 460
0.01337279 0.05587348 87 65 78 489
0.00925997 0.05645459 78 56 69 989
0.00341793 0.05771842 92 72 84 421
0.01749584 0.05409231 110 88 101 653
0.01716956 0.05391649 110 88 101 671
0.01551764 0.05450311 110 88 101 607
0.01417796 0.05470831 110 88 101 596
0.01180991 0.05538142 87 65 78 646
0.01029946 0.05543434 87 65 78 1010
0.00752693 0.05581158 78 56 69 771
0.00626485 0.05635108 78 56 69 753
0.00547082 0.05631798 78 56 69 700
0.00374100 0.05678460 92 72 84 678
0.00176280 0.05719541 92 72 84 642
0.01932204 0.05282648 94 70 86 717
0.01774451 0.05328580 94 70 86 803
0.01718421 0.05318111 82 55 72 839
0.01662360 0.05307555 82 55 72 800
0.01511696 0.05337624 82 55 72 725
0.01432293 0.05355872 81 54 69 739
0.01329458 0.05359587 81 54 69 796
0.01053700 0.05453174 81 54 69 935
0.01021012 0.05413942 81 54 69 946
0.00816866 0.05498922 87 61 74 867
0.00595673 0.05525561 87 61 74 800
0.00485077 0.05582081 87 61 74 796
0.00310630 0.05594403 75 49 60 814
0.00113191 0.05638744 75 49 60 764
0.02019047 0.05143832 94 70 86 850
0.01685763 0.05192606 82 55 72 896
0.01456750 0.05250399 82 55 72 857
0.01299378 0.05299548 81 54 69 842
0.01148333 0.05304800 81 54 69 846
0.00959769 0.05370620 81 54 69 871
0.00934931 0.05343480 81 54 69 882
0.00746367 0.05409301 87 61 74 846
0.00547082 0.05416083 87 61 74 921
0.00358518 0.05481904 75 49 60 889
0.00318039 0.05473790 75 49 60 878
0.00145087 0.05520498 75 49 60 853
0.00167375 0.05503859 75 49 60 860
-0.00226800 0.05577160 87 61 74 717
0.02714228 0.04899429 121 98 114 725
0.02343425 0.04987172 121 98 114 882
0.02295215 0.04988749 94 70 86 878
0.02050591 0.05044014 94 70 86 892
0.01955576 0.05059775 94 70 86 846
0.01726593 0.05117615 82 55 72 899
0.01592594 0.05138006 82 55 72 910
0.01606711 0.05106189 82 55 72 907
0.01109731 0.05226370 81 54 69 864
0.01061491 0.05227942 81 54 69 850
