//U V R G B Intensity
0.01398992 -0.05783863 74 59 90 232
0.01192457 -0.05870344 70 57 85 1185
0.01010911 -0.05882218 70 60 84 1210
0.01467195 -0.05680455 76 61 90 339
0.02445413 -0.05312557 92 83 100 671
0.02246650 -0.05358595 72 62 86 878
0.02138659 -0.05410949 72 62 86 935
0.01754256 -0.05492194 70 57 85 810
0.00974801 -0.05691604 74 64 88 1228
0.00775637 -0.05752047 75 69 95 728
0.01991272 -0.05250877 77 67 94 1725
0.01597023 -0.05340266 79 64 93 1600
0.00932133 -0.05490072 80 70 94 1492
0.00634816 -0.05586556 75 69 95 1542
0.00537079 -0.05600063 78 71 102 1550
0.02168272 -0.05066339 85 72 100 1939
0.01881208 -0.05148481 81 68 98 1996
0.01476709 -0.05260348 80 67 95 1839
0.00606081 -0.05476022 78 72 100 1907
0.01854543 -0.05062072 81 68 98 2057
0.01561322 -0.05127086 80 67 95 1932
0.01078773 -0.05244385 79 69 94 1975
0.00390099 -0.05441929 81 74 107 2114
0.00188049 -0.05490680 82 75 108 2042
0.02905050 -0.04681734 82 74 89 1896
0.02503430 -0.04797143 88 78 102 1814
0.02119030 -0.04886543 82 69 99 1921
0.01727660 -0.04987593 81 68 98 2014
0.01646335 -0.04987556 80 67 97 1964
0.01538344 -0.05031754 80 67 95 1957
0.01248799 -0.05095969 81 68 94 2103
0.01140809 -0.05131992 81 68 94 2071
0.00860312 -0.05192366 85 77 100 2182
0.00765853 -0.05211322 84 76 100 2214
0.00465665 -0.05296140 80 73 104 2139
0.00360954 -0.05337612 81 74 107 2114
0.00270181 -0.05347647 81 74 107 2139
0.00074299 -0.05405363 83 78 108 2075
0.03100936 -0.04501528 83 75 90 2128
0.02490298 -0.04693667 86 73 99 1814
0.02392561 -0.04715329 85 72 100 1732
0.02308346 -0.04711757 85 72 100 1803
0.01822519 -0.04831782 83 70 100 1978
0.01616791 -0.04905798 83 70 100 1989
0.01424187 -0.04952653 83 70 98 2039
0.01235269 -0.04990566 82 69 95 2203
0.00843900 -0.05091634 84 74 98 2196
0.00452533 -0.05184527 82 75 108 2132
0.00337977 -0.05242281 82 75 109 2214
-0.00232864 -0.05379346 86 83 102 2200
0.03048014 -0.04453137 85 76 95 2078
0.02767917 -0.04499126 86 76 100 2021
0.02670577 -0.04514579 81 71 96 1960
0.02471007 -0.04581237 77 67 94 1764
0.01006962 -0.04946691 84 74 98 2007
0.00811478 -0.04998198 81 73 96 2071
0.00608628 -0.05075718 82 76 104 2039
-0.00572439 -0.05390550 83 82 98 2157
0.02653359 -0.04434448 81 71 96 1871
0.02562587 -0.04444464 81 71 96 1814
0.02363417 -0.04504892 80 70 97 1757
0.01965482 -0.04611360 80 69 99 1914
0.01277206 -0.04786364 84 74 98 2107
0.01182348 -0.04819706 84 74 98 2082
0.00774569 -0.04942473 81 73 96 2132
0.00602463 -0.04952457 82 76 104 2082
0.00416431 -0.05002062 83 76 107 2064
0.00210695 -0.05059755 82 75 108 2125
0.00116235 -0.05086867 81 74 105 2107
-0.00281698 -0.05193334 84 81 102 2139
-0.00487834 -0.05265412 82 79 98 2182
0.03417204 -0.04113654 84 83 101 1853
0.03309213 -0.04149677 76 73 92 1778
0.03096917 -0.04229132 81 76 98 1871
0.03019268 -0.04220140 82 74 98 1921
0.02907601 -0.04281430 80 72 96 1928
0.02428740 -0.04373476 83 73 100 1903
0.02327315 -0.04412236 81 71 98 1896
0.01949479 -0.04496237 84 74 99 1989
0.01730210 -0.04587308 84 74 99 1996
0.01652970 -0.04563925 84 74 99 1946
0.01257916 -0.04673935 86 77 98 2214
0.00846451 -0.04813800 84 79 102 2171
0.00087092 -0.04974375 83 79 106 2039
-0.00226629 -0.05084434 83 79 104 2092
-0.00324374 -0.05114258 82 78 101 2125
0.03006144 -0.04116678 82 73 100 1810
0.02816820 -0.04160827 81 72 99 1846
0.02327713 -0.04291712 81 73 97 1935
0.02216436 -0.04338604 81 73 97 1939
0.01919129 -0.04426945 83 75 98 2046
0.01730210 -0.04464858 84 76 99 2139
0.01329396 -0.04567802 84 76 97 2064
0.01230852 -0.04610086 85 77 98 2246
0.00940908 -0.04672394 83 78 100 2196
0.00165138 -0.04862842 83 79 104 2096
-0.00030346 -0.04906175 83 79 104 2046
-0.00715741 -0.05101013 82 78 103 2057
-0.00928038 -0.05164137 83 79 104 2082
-0.01113669 -0.05207513 84 80 105 2017
-0.01309559 -0.05257041 84 80 105 2092
0.03763014 -0.03799382 79 76 103 2035
0.03263656 -0.03952784 82 78 101 1871
0.02969636 -0.04038412 82 73 100 1803
0.02882143 -0.04045721 81 72 99 1853
0.02572101 -0.04138650 82 73 100 1803
0.02292004 -0.04192814 81 73 97 1885
0.02190580 -0.04231594 81 73 97 2028
0.01495737 -0.04420153 84 76 99 1989
0.01209079 -0.04471573 85 77 98 2128
0.00814425 -0.04583509 83 79 102 2139
0.00625109 -0.04635807 83 79 104 2032
0.00324921 -0.04720624 83 79 104 2039
0.00223894 -0.04745001 83 79 104 2000
0.00135594 -0.04772930 83 79 104 1957
-0.00252486 -0.04871285 83 79 104 2007
-0.00653706 -0.04980464 82 78 103 2000
-0.00950614 -0.05062556 83 79 104 2042
-0.01136246 -0.05089601 84 80 105 2007
0.04036147 -0.03642572 83 80 109 2082
0.03651744 -0.03723817 82 79 108 2010
