//X Y Z R G B Intensity
12.44999981 -9.30325031 -0.22975001 89 84 104 907
12.44849968 -9.30200005 -0.22675000 111 109 123 753
12.47375011 -9.32200050 -0.29875001 134 138 141 7074
12.47424984 -9.32250023 -0.29775000 134 138 141 6721
12.47299957 -9.32149982 -0.29675001 134 138 141 4714
12.46924973 -9.31875038 -0.28375000 104 103 111 742
12.46399975 -9.31474972 -0.27250001 92 84 99 814
12.46450043 -9.31499958 -0.27149999 92 84 99 753
12.46424961 -9.31499958 -0.27050000 92 84 99 753
12.45699978 -9.30949974 -0.24850000 89 80 109 785
12.45524979 -9.30825043 -0.24550000 97 88 115 792
12.45174980 -9.30550003 -0.23424999 96 88 112 889
12.44849968 -9.30299950 -0.22425000 111 109 123 2307
12.47475052 -9.32400036 -0.30225000 128 133 137 1717
12.47350025 -9.32299995 -0.30024999 128 133 137 9200
12.47325039 -9.32299995 -0.29925001 128 133 137 12835
12.47274971 -9.32250023 -0.29824999 171 174 181 13014
12.47325039 -9.32299995 -0.29725000 134 138 141 9967
12.47249985 -9.32225037 -0.29425001 134 138 141 2567
12.47150040 -9.32174969 -0.29225001 141 142 147 1435
12.47099972 -9.32124996 -0.29025000 141 142 147 942
12.46574974 -9.31725025 -0.27925000 86 80 92 750
12.46500015 -9.31674957 -0.27625000 86 80 92 732
12.46199989 -9.31449986 -0.26699999 92 84 99 703
12.46175003 -9.31424999 -0.26499999 89 80 99 807
12.46049976 -9.31324959 -0.26100001 89 80 99 835
12.45800018 -9.31149960 -0.25600001 89 80 107 792
12.45275021 -9.30749989 -0.23875000 96 88 112 832
12.45275021 -9.30749989 -0.23774999 96 88 112 871
12.45100021 -9.30624962 -0.23575000 96 88 112 885
12.44974995 -9.30525017 -0.23275000 89 84 104 1075
12.44674969 -9.30299950 -0.22475000 111 109 123 6764
12.47325039 -9.32425022 -0.29875001 171 174 181 17403
12.47200012 -9.32324982 -0.29775000 171 174 181 15882
12.47150040 -9.32275009 -0.29675001 171 174 181 12496
12.47150040 -9.32299995 -0.29574999 171 174 181 8935
12.47200012 -9.32324982 -0.29475001 171 174 181 5542
12.47175026 -9.32299995 -0.29374999 171 174 181 3407
12.46049976 -9.31474972 -0.26449999 94 82 106 789
12.46049976 -9.31474972 -0.26249999 94 82 106 807
12.45975018 -9.31400013 -0.25950000 93 82 112 803
12.45775032 -9.31250000 -0.25850001 93 82 112 792
12.45100021 -9.30749989 -0.23850000 95 86 113 817
12.44874954 -9.30574989 -0.23125000 102 97 119 1114
12.44750023 -9.30500031 -0.22525001 153 150 167 11582
12.44674969 -9.30424976 -0.22425000 153 150 167 13192
12.44700050 -9.30449963 -0.22325000 153 150 167 10689
12.44600010 -9.30375004 -0.22225000 153 150 167 6971
12.44499969 -9.30299950 -0.22025000 192 190 203 2078
12.47299957 -9.32524967 -0.30225000 128 133 137 8232
12.47299957 -9.32524967 -0.29925001 128 133 137 20696
12.47200012 -9.32450008 -0.29824999 171 174 181 19528
12.47099972 -9.32374954 -0.29525000 171 174 181 10932
12.47049999 -9.32324982 -0.29425001 171 174 181 6932
12.46899986 -9.32225037 -0.29225001 192 190 203 2532
12.46924973 -9.32250023 -0.29124999 192 190 203 1824
12.46899986 -9.32225037 -0.28825000 192 190 203 1050
12.46624947 -9.32024956 -0.28224999 146 142 157 803
12.46500015 -9.31900024 -0.28025001 146 142 157 853
12.46450043 -9.31875038 -0.27925000 102 95 111 839
12.45950031 -9.31499958 -0.26100001 94 82 106 764
12.45475006 -9.31149960 -0.24975000 93 82 114 828
12.45499992 -9.31175041 -0.24775000 93 82 114 735
12.45250034 -9.30974960 -0.24175000 98 89 120 835
12.44700050 -9.30574989 -0.22875001 102 97 119 2342
12.44725037 -9.30574989 -0.22775000 102 97 119 4871
12.44674969 -9.30550003 -0.22575000 153 150 167 15082
12.44575024 -9.30475044 -0.22274999 153 150 167 14671
12.44524956 -9.30449963 -0.22175001 153 150 167 9664
12.44425011 -9.30375004 -0.22075000 153 150 167 5767
12.44400024 -9.30350018 -0.21775000 192 190 203 810
12.47200012 -9.32575035 -0.30175000 128 133 137 15846
12.47249985 -9.32625008 -0.30074999 128 133 137 20439
12.47200012 -9.32575035 -0.29975000 128 133 137 22625
12.47224998 -9.32600021 -0.29875001 171 174 181 22703
12.47125053 -9.32524967 -0.29775000 171 174 181 21300
12.47125053 -9.32524967 -0.29675001 171 174 181 19639
12.47049999 -9.32450008 -0.29475001 171 174 181 13496
12.47000027 -9.32425022 -0.29374999 171 174 181 8742
12.46924973 -9.32374954 -0.29275000 171 174 181 5289
12.46924973 -9.32374954 -0.29175001 192 190 203 3214
12.46875000 -9.32324982 -0.28874999 192 190 203 1182
12.46650028 -9.32149982 -0.28475001 146 142 157 864
12.46374989 -9.31949997 -0.27575001 102 95 111 789
12.46125031 -9.31774998 -0.26850000 94 85 104 782
12.46024990 -9.31700039 -0.26449999 94 82 106 700
12.45800018 -9.31525040 -0.26249999 94 82 106 753
12.45400047 -9.31225014 -0.24950001 93 82 114 796
12.45224953 -9.31099987 -0.24550000 98 89 120 807
12.44900036 -9.30850029 -0.23350000 102 97 119 1232
12.44600010 -9.30624962 -0.22825000 102 97 119 6357
12.44600010 -9.30624962 -0.22724999 102 97 119 12253
12.44624996 -9.30624962 -0.22525001 153 150 167 21889
12.44524956 -9.30550003 -0.22425000 153 150 167 22035
12.44524956 -9.30574989 -0.22325000 153 150 167 20385
12.44474983 -9.30525017 -0.22225000 153 150 167 16864
