//X Y Z R G B Intensity
-15.63000011 16.13299942 -0.19550000 126 143 163 2821
-15.62874985 16.13175011 -0.19350000 126 143 163 1685
-15.62950039 16.13375092 -0.19800000 139 156 172 2085
-15.62924957 16.13500023 -0.19775000 139 156 172 1146
-15.62775040 16.13475037 -0.19499999 126 143 163 1382
-15.62699986 16.13400078 -0.19300000 126 143 163 950
-15.62775040 16.13624954 -0.19675000 126 143 163 1003
-15.62699986 16.13699913 -0.19700000 139 156 172 789
-15.62650013 16.13649940 -0.19599999 126 143 163 1389
-15.62549973 16.13674927 -0.19675000 126 143 163 1321
-15.62874985 16.14024925 -0.19575000 126 143 163 2032
-15.62500000 16.13624954 -0.19475000 126 143 163 2192
-15.62724972 16.13875008 -0.19275001 126 143 163 1300
-15.62524986 16.13800049 -0.19700000 139 156 172 1232
-15.62524986 16.13800049 -0.19599999 126 143 163 2042
-15.62399960 16.13674927 -0.19499999 126 143 163 2292
-15.62574959 16.13875008 -0.19400001 126 143 163 1996
-15.62500000 16.13775063 -0.19300000 126 143 163 1335
-15.62450027 16.13750076 -0.19200000 126 143 163 775
-15.62549973 16.13974953 -0.19475000 126 143 163 1942
-15.62399960 16.13974953 -0.19499999 126 143 163 1321
-15.62425041 16.13974953 -0.19400001 126 143 163 1078
-15.62174988 16.13875008 -0.19475000 116 132 155 971
-15.62300014 16.14150047 -0.20299999 125 142 162 532
-15.62249947 16.14075089 -0.19700000 125 142 162 864
-15.62125015 16.13949966 -0.19400001 116 132 155 875
-15.62174988 16.13999939 -0.19300000 116 132 155 857
-15.62125015 16.13949966 -0.19000000 116 132 155 800
-15.62450027 16.14450073 -0.20675001 135 154 169 632
-15.62724972 16.14724922 -0.20575000 125 142 162 700
-15.62524986 16.14525032 -0.20074999 125 142 162 735
-15.62425041 16.14425087 -0.19975001 125 142 162 821
-15.62325001 16.14324951 -0.19475000 116 132 155 917
-15.62199974 16.14200020 -0.19175000 116 132 155 789
-15.61750031 16.13724899 -0.18550000 120 134 160 692
-15.62674999 16.14825058 -0.20700000 135 154 169 742
-15.62650013 16.14800072 -0.20524999 125 142 162 789
-15.61950016 16.14075089 -0.19400001 116 132 155 796
-15.61899948 16.14024925 -0.19100000 116 132 155 850
