//X Y Z R G B Intensity
0.07625000 20.09799957 7.23075008 144 142 155 24439
0.07625000 20.09700012 7.23150015 144 142 155 26253
0.07625000 20.09575081 7.23500013 168 166 179 28864
0.07625000 20.09474945 7.23575020 168 166 179 28692
0.07625000 20.09399986 7.23750019 168 166 179 27771
0.07625000 20.09350014 7.23850012 168 166 179 27146
0.07625000 20.09350014 7.23950005 168 166 179 26764
0.07625000 20.09149933 7.24324989 179 176 187 26764
0.07625000 20.09099960 7.24525023 179 176 187 25342
0.07625000 20.09149933 7.24650002 179 176 187 23825
0.07625000 20.09000015 7.24700022 179 176 187 22117
0.07725000 20.10000038 7.22674990 144 142 155 24560
0.07725000 20.10000038 7.22774982 144 142 155 26989
0.07725000 20.09824944 7.23024988 144 142 155 31535
0.07725000 20.09700012 7.23400021 144 142 155 35264
0.07725000 20.09700012 7.23500013 168 166 179 35389
0.07725000 20.09424973 7.23750019 168 166 179 35521
0.07725000 20.09399986 7.23950005 168 166 179 34375
0.07725000 20.09275055 7.24025011 168 166 179 33642
0.07725000 20.09350014 7.24149990 168 166 179 33525
0.07725000 20.09225082 7.24200010 168 166 179 34003
0.07725000 20.09300041 7.24324989 179 176 187 34246
0.07725000 20.09174919 7.24399996 179 176 187 34003
0.07725000 20.09074974 7.24574995 179 176 187 30921
0.07725000 20.09124947 7.24800014 179 176 187 28864
0.07725000 20.09099960 7.24900007 179 176 187 29221
0.07725000 20.09025002 7.24975014 179 176 187 28021
0.07725000 20.09000015 7.25075006 179 176 187 25967
0.07725000 20.08824921 7.25225019 178 172 184 21325
0.07825000 20.10074997 7.22200012 114 112 125 23946
0.07825000 20.10099983 7.22324991 114 112 125 26692
0.07825000 20.10000038 7.22599983 114 112 125 30242
0.07825000 20.09950066 7.22700024 144 142 155 31742
0.07825000 20.09950066 7.22800016 144 142 155 32835
0.07825000 20.09899902 7.22900009 144 142 155 33889
0.07800000 20.09675026 7.23325014 144 142 155 35003
0.07800000 20.09700012 7.23449993 144 142 155 34875
0.07800000 20.09650040 7.23525000 168 166 179 35525
0.07800000 20.09474945 7.23775005 168 166 179 37328
0.07800000 20.09424973 7.23974991 168 166 179 36192
0.07800000 20.09424973 7.24100018 168 166 179 36475
0.07800000 20.09225082 7.24349976 179 176 187 36060
0.07800000 20.09149933 7.24525023 179 176 187 34003
0.07800000 20.09074974 7.24700022 179 176 187 31742
0.07800000 20.08975029 7.25000000 179 176 187 30925
0.07800000 20.09000015 7.25099993 179 176 187 29307
0.07800000 20.08850098 7.25150013 178 172 184 27614
0.07800000 20.08799934 7.25349998 178 172 184 23303
0.07800000 20.08724976 7.25425005 178 172 184 20457
0.07900000 20.10250092 7.22125006 114 112 125 22482
0.07900000 20.10149956 7.22200012 114 112 125 27617
0.07900000 20.10124969 7.22300005 114 112 125 31021
0.07900000 20.09950066 7.22450018 114 112 125 32610
0.07900000 20.09950066 7.22550011 114 112 125 32496
0.07900000 20.09874916 7.22625017 114 112 125 33175
0.07900000 20.09975052 7.22774982 144 142 155 33889
0.07900000 20.09874916 7.22825003 144 142 155 34621
0.07900000 20.09824944 7.22924995 144 142 155 34750
0.07900000 20.09799957 7.23024988 144 142 155 34621
0.07900000 20.09774971 7.23124981 144 142 155 34128
0.07900000 20.09774971 7.23225021 144 142 155 34375
0.07900000 20.09749985 7.23325014 144 142 155 35264
0.07900000 20.09575081 7.23575020 168 166 179 36060
0.07900000 20.09550095 7.23799992 168 166 179 38071
0.07900000 20.09399986 7.23850012 168 166 179 37471
0.07900000 20.09474945 7.23974991 168 166 179 37767
0.07900000 20.09350014 7.24025011 168 166 179 37764
0.07900000 20.09300041 7.24125004 168 166 179 38685
0.07900000 20.09300041 7.24224997 168 166 179 38842
0.07900000 20.09174919 7.24275017 179 176 187 38682
0.07900000 20.09225082 7.24399996 179 176 187 37182
0.07900000 20.09099960 7.24475002 179 176 187 37035
0.07900000 20.09149933 7.24599981 179 176 187 35785
0.07900000 20.09000015 7.24749994 179 176 187 34371
0.07900000 20.09000015 7.24849987 179 176 187 34746
0.07900000 20.08975029 7.25075006 179 176 187 34621
0.07900000 20.08699989 7.25500011 178 172 184 27142
0.08000000 20.10174942 7.21925020 172 170 183 21967
0.08000000 20.10300064 7.22074986 172 170 183 27778
0.08000000 20.10250092 7.22149992 172 170 183 31853
0.08000000 20.10074997 7.22200012 172 170 183 33885
0.08000000 20.10074997 7.22300005 172 170 183 34496
0.08000000 20.10074997 7.22424984 172 170 183 34750
0.08000000 20.09950066 7.22475004 172 170 183 35789
0.08000000 20.10074997 7.22625017 172 170 183 35657
0.08000000 20.09925079 7.22674990 199 198 212 36335
0.08000000 20.09874916 7.22774982 199 198 212 35921
0.08000000 20.09774971 7.23050022 199 198 212 34875
0.08000000 20.09650040 7.23124981 199 198 212 35128
0.08000000 20.09675026 7.23225021 199 198 212 35128
0.08000000 20.09575081 7.23299980 199 198 212 36192
0.08000000 20.09600067 7.23400021 199 198 212 35921
0.08000000 20.09524918 7.23699999 202 202 214 37621
0.08000000 20.09524918 7.23799992 202 202 214 36753
0.08000000 20.09350014 7.23850012 202 202 214 37035
0.08000000 20.09399986 7.23974991 202 202 214 38071
0.08000000 20.09399986 7.24200010 202 202 214 38528
0.08000000 20.09300041 7.24249983 202 202 214 38071
0.08000000 20.09199905 7.24324989 217 214 225 37617
0.08000000 20.09149933 7.24424982 217 214 225 38371
