//X Y Z R G B Intensity
0.71679997 19.53240013 0.42829999 92 89 96 5807
0.71789998 19.53319931 0.42699999 92 89 96 2132
0.71780002 19.53199959 0.43000001 92 89 96 3792
0.72280002 19.53000069 0.43430001 78 71 89 475
0.72589999 19.53170013 0.43189999 73 69 83 1153
0.72680002 19.53120041 0.43340001 74 66 90 460
0.72979999 19.53120041 0.43099999 71 66 86 1260
0.73079997 19.53219986 0.43040001 71 66 86 1067
0.73079997 19.53140068 0.43140000 71 66 86 932
0.73079997 19.53050041 0.43540001 74 66 90 789
0.73189998 19.53409958 0.42100000 87 83 98 867
0.73180002 19.53140068 0.43189999 71 66 86 1085
0.73290002 19.53479958 0.42140001 87 83 98 953
0.73280001 19.53249931 0.42629999 71 66 86 1096
0.73269999 19.52989960 0.43540001 74 66 90 1153
0.73479998 19.53389931 0.42629999 70 65 88 1050
0.73470002 19.53170013 0.43030000 70 65 88 1135
0.73600000 19.53590012 0.41600001 80 72 93 921
0.73589998 19.53369904 0.42600000 70 65 88 1046
0.73580003 19.53229904 0.43000001 70 65 88 1078
0.73710001 19.53669930 0.41240001 80 72 93 1103
0.73699999 19.53459930 0.42330000 71 66 88 1107
0.73689997 19.53199959 0.42629999 70 65 88 992
0.73689997 19.53330040 0.42829999 70 65 88 1050
0.73680001 19.52919960 0.43630001 67 58 89 1050
0.73680001 19.53000069 0.43840000 67 58 89 1089
0.73680001 19.52890015 0.43939999 67 58 89 1117
0.73820001 19.53890038 0.40820000 97 88 107 1007
0.73809999 19.53680038 0.41100001 80 72 93 1032
0.73790002 19.53199959 0.43189999 70 65 88 1142
0.73780000 19.53020096 0.43380001 67 58 89 1071
0.73780000 19.52980042 0.43590000 67 58 89 1175
0.73780000 19.52829933 0.44090000 67 58 89 1164
0.73909998 19.53649902 0.41540000 80 72 93 1003
0.73890001 19.53149986 0.43130001 70 65 88 1142
0.73879999 19.53149986 0.43439999 67 58 89 1157
0.73879999 19.52989960 0.43840000 67 58 89 1096
0.73869997 19.52809906 0.44130000 67 58 89 1210
0.73869997 19.52829933 0.44430000 76 67 98 1100
0.74010003 19.53890038 0.40610000 97 88 107 1017
0.73970002 19.52750015 0.44290000 76 67 98 1117
0.73970002 19.52820015 0.44589999 76 67 98 1185
0.74100000 19.53669930 0.41540000 80 72 93 1117
0.74100000 19.53619957 0.41740000 71 66 88 867
0.74089998 19.53479958 0.42230001 71 66 88 989
0.74089998 19.53350067 0.42330000 71 66 88 1114
0.74080002 19.53260040 0.42620000 70 65 88 1107
0.74059999 19.52680016 0.44420001 76 67 98 1278
0.74210000 19.53940010 0.40210000 97 88 107 1032
0.74210000 19.53949928 0.40310001 97 88 107 1010
0.74199998 19.53709984 0.40900001 80 72 93 932
0.74190003 19.53450012 0.41900000 71 66 88 960
0.74180001 19.53020096 0.43380001 67 58 89 1100
0.74180001 19.53079987 0.43489999 67 58 89 1075
0.74309999 19.53759956 0.41139999 90 82 106 964
0.74299997 19.53689957 0.41440001 90 82 106 1021
0.74299997 19.53569984 0.41940001 67 61 87 1003
0.74269998 19.52910042 0.43630001 68 58 92 1085
0.74260002 19.52569962 0.45429999 68 59 88 1267
0.74400002 19.53730011 0.40799999 130 120 144 960
0.74400002 19.53720093 0.41100001 90 82 106 960
0.74400002 19.53580093 0.41490000 90 82 106 978
0.74390000 19.53450012 0.41999999 67 61 87 914
0.74390000 19.53260040 0.42399999 67 61 87 1146
0.74379998 19.53210068 0.42600000 66 59 90 1182
0.74370003 19.52930069 0.43489999 68 58 92 1046
0.74370003 19.52899933 0.43689999 68 58 92 1157
0.74510002 19.53789902 0.40939999 90 82 106 1050
0.74500000 19.53720093 0.41339999 90 82 106 1060
0.74489999 19.53330040 0.42429999 67 61 87 1117
0.74470001 19.52989960 0.43730000 68 58 92 1142
0.74470001 19.52949905 0.43830001 68 58 92 1128
0.74620003 19.54089928 0.39809999 140 128 148 1260
0.74610001 19.53910065 0.40720001 130 120 144 1007
0.74610001 19.53860092 0.40920001 90 82 106 992
0.74599999 19.53599930 0.41499999 90 82 106 1075
0.74580002 19.53109932 0.43090001 66 59 90 1017
0.74570000 19.52890015 0.44100001 68 58 92 1117
0.74570000 19.52840042 0.44400001 68 58 92 1232
0.74720001 19.54229927 0.39370000 140 128 148 3060
0.74720001 19.54129982 0.39969999 140 128 148 1200
0.74710000 19.53960037 0.40549999 130 120 144 1035
0.74699998 19.53689957 0.40939999 90 82 106 1003
