//X Y Z R G B Intensity
0.71700001 19.53120041 0.42969999 98 93 99 5425
0.71810001 19.53210068 0.43320000 91 86 93 1307
0.71910000 19.53100014 0.43169999 98 93 99 1942
0.72310001 19.53120041 0.43370000 74 68 80 585
0.72610003 19.53400040 0.42629999 78 72 82 725
0.72700000 19.53000069 0.43370000 74 68 80 485
0.73100001 19.53339958 0.42670000 66 60 74 1046
0.73089999 19.53160095 0.42870000 66 60 74 1478
0.73100001 19.53249931 0.43070000 66 60 74 1057
0.73089999 19.53020096 0.43669999 67 60 76 696
0.73189998 19.53280067 0.42730001 66 60 74 1228
0.73180002 19.53000069 0.43520001 67 60 76 1100
0.73290002 19.53260040 0.42469999 84 78 90 1128
0.73290002 19.53240013 0.42670000 66 60 74 1085
0.73290002 19.53229904 0.43169999 66 60 74 1239
0.73280001 19.52969933 0.43470001 67 60 76 1203
0.73409998 19.53520012 0.42039999 84 78 90 1039
0.73400003 19.53319931 0.42340001 84 78 90 1103
0.73400003 19.53330040 0.42739999 66 60 74 1103
0.73400003 19.53249931 0.43130001 66 60 74 1228
0.73509997 19.53630066 0.41690001 84 78 90 953
0.73500001 19.53310013 0.42370000 84 78 90 1075
0.73610002 19.53700066 0.41360000 102 94 105 1057
0.73589998 19.53339958 0.42039999 84 78 90 1089
0.73600000 19.53450012 0.42240000 84 78 90 1089
0.73589998 19.53289986 0.42340001 84 78 90 1057
0.73600000 19.53380013 0.42440000 84 78 90 1028
0.73589998 19.53330040 0.42539999 66 60 74 1057
0.73589998 19.53199959 0.42640001 66 60 74 942
0.73589998 19.53100014 0.43220001 66 60 74 1089
0.73589998 19.53100014 0.43320000 67 60 76 1153
0.73710001 19.53660011 0.41290000 102 94 105 1039
0.73699999 19.53289986 0.42870000 66 60 74 1089
0.73689997 19.52949905 0.43970001 67 60 76 1210
0.73799998 19.53560066 0.41450000 102 94 105 1028
0.73799998 19.53369904 0.42240000 84 78 90 1085
0.73790002 19.53260040 0.42530000 66 60 74 1117
0.73790002 19.53140068 0.42829999 66 60 74 1096
0.73790002 19.53260040 0.42930001 66 60 74 1107
0.73780000 19.52840042 0.44010001 67 60 76 1157
0.73780000 19.52980042 0.44110000 67 60 76 1185
0.73909998 19.53720093 0.41290000 83 75 90 1021
0.73900002 19.53479958 0.41490000 83 75 90 1017
0.73909998 19.53610039 0.41589999 83 75 90 942
0.73900002 19.53359985 0.42469999 71 65 79 1085
0.73890001 19.53229904 0.42670000 69 62 78 1078
0.73890001 19.53070068 0.43669999 69 61 82 1135
0.73879999 19.52759933 0.44360000 74 66 87 1146
0.74000001 19.53459930 0.41650000 83 75 90 960
0.73989999 19.53129959 0.42930001 69 62 78 1032
0.73989999 19.53240013 0.43130001 69 62 78 1039
0.74089998 19.53219986 0.42570001 69 62 78 1157
0.74089998 19.53310013 0.42670000 69 62 78 1103
0.74070001 19.52930069 0.43970001 69 61 82 1128
0.74070001 19.52849960 0.44159999 74 66 87 1028
0.74070001 19.52910042 0.44260001 74 66 87 1100
0.74210000 19.53870010 0.40279999 112 101 115 989
0.74199998 19.53560066 0.41549999 83 75 90 1107
0.74190003 19.53210068 0.42539999 69 62 78 1114
0.74180001 19.53089905 0.43419999 69 61 82 1114
0.74180001 19.53039932 0.43610001 69 61 82 1128
0.74180001 19.52890015 0.43709999 69 61 82 1089
0.74180001 19.52930069 0.44209999 74 66 87 1114
0.74299997 19.53750038 0.41100001 83 75 90 892
0.74280000 19.53199959 0.43079999 69 62 78 1060
0.74280000 19.53020096 0.43970001 69 61 82 1057
0.74269998 19.52759933 0.44450000 74 66 87 1135
0.74260002 19.52700043 0.44549999 74 66 87 1135
0.74260002 19.52619934 0.44949999 71 64 82 1107
0.74400002 19.53680038 0.40770000 112 101 115 964
0.74379998 19.53190041 0.42829999 69 62 78 1089
0.74379998 19.53179932 0.43320000 69 61 82 989
0.74370003 19.52919960 0.44310001 74 66 87 1114
0.74370003 19.52849960 0.44409999 74 66 87 1128
0.74500000 19.53669930 0.41100001 83 75 90 978
0.74500000 19.53709984 0.41299999 83 75 90 950
0.74500000 19.53639984 0.41490000 83 75 90 1039
0.74489999 19.53389931 0.41980001 71 65 79 989
0.74470001 19.52939987 0.44069999 69 61 82 1085
0.74460000 19.52680016 0.44549999 74 66 87 1117
0.74460000 19.52669907 0.44850001 74 66 87 1042
0.74620003 19.53989983 0.39879999 123 111 123 1114
0.74599999 19.53590012 0.41260001 83 75 90 992
0.74570000 19.52779961 0.44209999 74 66 87 1210
0.74570000 19.52809906 0.44710001 74 66 87 1096
