//U V R G B Intensity
-0.01729348 0.05814461 126 143 163 2032
-0.02064341 0.05682292 126 143 163 1300
-0.00514760 0.05621892 125 142 162 700
-0.01048646 0.05417719 125 142 162 735
-0.01184748 0.05357632 125 142 162 821
-0.01669850 0.05185669 116 132 155 917
-0.01992624 0.05061528 116 132 155 789
-0.00356757 0.05565907 135 154 169 742
-0.00521623 0.05508926 125 142 162 789
-0.00130796 0.05560557 135 154 169 782
-0.01011988 0.05216281 125 142 162 821
-0.01438531 0.04972826 116 132 155 857
-0.02183619 0.04688638 116 132 155 835
0.00167540 0.05443038 135 154 169 707
-0.02268213 0.04546759 116 132 155 767
-0.02576137 0.04460284 120 134 160 800
-0.03246217 0.04196040 120 134 160 739
-0.01103536 0.04858898 125 142 162 928
-0.01651331 0.04675002 116 132 155 821
-0.02753220 0.04272225 120 134 160 775
-0.03175441 0.04112082 120 134 160 800
0.00078717 0.05176682 135 154 169 871
-0.00045168 0.05145118 135 154 169 903
-0.00169145 0.05093075 135 154 169 807
-0.00799843 0.04861965 125 142 162 789
-0.01806610 0.04493937 116 132 155 807
-0.01893834 0.04465964 116 132 155 789
-0.02340494 0.04289763 120 134 160 807
-0.02602171 0.04226340 120 134 160 767
-0.04092349 0.03658041 124 139 162 775
-0.04167355 0.03658593 130 147 165 775
-0.04366246 0.03586590 130 147 165 692
0.01243393 0.05509394 147 165 177 721
-0.01590141 0.04489526 111 123 147 775
-0.02248003 0.04233312 113 125 151 835
-0.03713743 0.03701644 114 126 150 746
-0.01012643 0.04564142 114 129 150 828
-0.02502728 0.04016243 113 125 151 739
-0.03099492 0.03820745 113 125 151 814
-0.04516260 0.03300602 126 141 160 707
0.00310035 0.04943346 130 147 163 821
-0.00012833 0.04819300 130 147 163 714
-0.01640710 0.04239620 111 123 147 842
-0.04681124 0.03141067 126 141 160 807
0.01294902 0.05202001 147 165 177 889
0.00945998 0.05069613 147 165 177 871
0.00101463 0.04769919 130 147 163 735
-0.00544085 0.04521715 114 129 150 675
-0.04219521 0.03211294 126 141 160 1010
-0.04455163 0.03115221 126 141 160 942
0.01933589 0.05337237 144 165 170 889
0.00952953 0.04956960 147 165 177 910
-0.00684511 0.04378237 114 129 150 789
-0.01157301 0.04214286 111 123 147 828
-0.04076463 0.03158807 126 141 160 971
-0.05071009 0.02798728 164 182 196 1807
0.01877758 0.05212669 144 165 170 903
0.00460990 0.04692526 130 147 163 753
-0.00694100 0.04256224 114 129 150 807
-0.01536000 0.03965671 111 123 147 857
-0.02281088 0.03681562 113 125 151 728
-0.02753877 0.03538027 113 125 151 842
-0.03064433 0.03421993 114 126 150 910
-0.03200536 0.03361827 114 126 150 867
-0.03263322 0.03329416 114 126 150 882
-0.03872309 0.03125968 114 126 150 982
-0.04915732 0.02754270 126 141 160 3053
-0.05139061 0.02666130 164 182 196 4835
0.01734699 0.05019137 147 165 177 875
0.01473021 0.04955712 147 165 177 978
0.01026362 0.04759017 147 165 177 910
0.00194048 0.04467351 130 147 163 842
-0.00548407 0.04212801 114 129 150 803
-0.01045635 0.04032792 114 129 150 814
-0.01679058 0.03792634 111 123 147 767
-0.01952957 0.03700686 111 123 147 739
-0.02176286 0.03612625 113 125 151 828
-0.02773050 0.03396632 113 125 151 828
-0.03270278 0.03237040 114 126 150 882
-0.03903702 0.02976466 114 126 150 1160
-0.04078154 0.02941015 126 141 160 1025
-0.04488155 0.02768406 126 141 160 1510
-0.04823148 0.02656731 126 141 160 6732
-0.05245462 0.02517180 164 182 196 7682
-0.05357127 0.02473148 164 182 196 5125
-0.05543798 0.02409174 164 182 196 2075
0.01814970 0.04954733 147 165 177 1000
0.00733290 0.04566587 130 147 163 789
-0.00446331 0.04134895 114 129 150 760
-0.01130229 0.03890834 111 123 147 760
-0.02273098 0.03483134 113 125 151 950
-0.02559216 0.03362584 113 125 151 996
-0.04420103 0.02695974 126 141 160 1814
-0.04742878 0.02571834 126 141 160 9464
-0.04929549 0.02528354 164 182 196 16921
-0.05165191 0.02411786 164 182 196 14907
-0.05339644 0.02355840 164 182 196 8067
-0.05439088 0.02340334 164 182 196 5117
0.02407413 0.05087337 144 165 170 2553
0.02021851 0.04951358 144 165 170 1282
0.01425085 0.04735365 147 165 177 985
0.00379029 0.04334108 130 147 163 803
-0.00761209 0.03914977 114 129 150 850
-0.01059546 0.03806971 111 123 147 746
-0.01506204 0.03651267 111 123 147 800
-0.02736299 0.03215594 113 125 151 950
-0.03951544 0.02776518 126 141 160 1153
-0.04488155 0.02563298 126 141 160 4289
-0.04973161 0.02411814 164 182 196 20664
-0.05048168 0.02391869 164 182 196 18585
-0.05196585 0.02303274 164 182 196 14817
-0.05308249 0.02279739 164 182 196 11107
-0.05482702 0.02203298 164 182 196 4510
-0.05606586 0.02171734 164 182 196 2703
-0.05669374 0.02159818 164 182 196 1475
0.02968462 0.05173070 130 154 154 3728
0.02745132 0.05105504 144 165 170 7560
0.02434485 0.04989487 144 165 170 4053
0.02235593 0.04917484 144 165 170 2146
-0.00559594 0.03893473 114 129 150 814
-0.01367468 0.03597448 111 123 147 775
-0.01590798 0.03509308 111 123 147 882
-0.02519926 0.03190783 113 125 151 903
-0.02966679 0.03014679 114 126 150 957
-0.04072796 0.02610475 126 141 160 1353
-0.04458452 0.02495086 126 141 160 8310
-0.04594554 0.02434921 126 141 160 12507
-0.04657343 0.02423005 126 141 160 17467
-0.04980117 0.02298942 164 182 196 23050
-0.05079563 0.02262940 164 182 196 21910
-0.05637980 0.02042727 164 182 196 4078
-0.05812432 0.01986781 203 223 230 1482
0.03024294 0.05092609 129 147 159 5703
0.02713740 0.04976498 181 197 212 12421
0.02378651 0.04844423 181 197 212 5092
0.01747953 0.04613313 220 233 249 1153
0.00927858 0.04309259 173 185 201 821
-0.02228451 0.03185822 121 129 150 910
-0.02961320 0.02909663 122 133 153 882
-0.03989893 0.02555135 157 170 187 1542
-0.04213223 0.02446501 157 170 187 3553
-0.04436644 0.02379031 157 170 187 11589
-0.04477533 0.02353518 157 170 187 16975
-0.04987071 0.02185993 214 231 241 24557
-0.05135395 0.02117798 214 231 241 22050
-0.05210402 0.02097932 214 231 241 19439
-0.05433731 0.02009792 214 231 241 10064
-0.05557708 0.01957829 214 231 241 6682
0.03092346 0.04999605 129 147 159 7149
0.02968462 0.04947546 129 147 159 11278
0.02670126 0.04839462 181 197 212 15839
0.02570679 0.04803461 181 197 212 13135
0.02309002 0.04719542 181 197 212 4871
0.02048921 0.04627906 181 197 212 2289
0.02010666 0.04611536 220 233 249 1707
0.01750584 0.04519901 220 233 249 1235
0.01440030 0.04403789 220 233 249 1032
0.00085958 0.03916152 173 185 201 864
-0.02446516 0.02992840 121 129 150 800
-0.04198371 0.02361119 157 170 187 7292
-0.04397263 0.02289115 157 170 187 17650
-0.04795043 0.02145030 214 231 241 26971
-0.04919021 0.02093066 214 231 241 26478
-0.05130132 0.02033451 214 231 241 23867
-0.05278454 0.01965334 214 231 241 20828
-0.05341240 0.01932924 214 231 241 16500
