//U V R G B Intensity
-0.02209345 0.06278178 124 146 167 1321
-0.02350407 0.06096654 124 146 167 942
-0.01411243 0.06310117 133 159 174 1064
-0.01376725 0.06363435 133 159 174 1025
-0.01713851 0.06239952 133 159 174 1357
-0.01543819 0.06191961 133 159 174 667
-0.01838213 0.06046859 133 159 174 935
-0.00629423 0.06371461 129 156 167 682
-0.01796139 0.05902016 124 146 167 1546
-0.02005213 0.05793156 124 146 167 1464
-0.02109845 0.05615499 124 146 167 1503
-0.02101778 0.05661030 124 146 167 632
-0.01958614 0.05608107 124 146 167 1260
-0.02262664 0.05464166 124 146 167 767
-0.01730133 0.05591269 105 125 152 1774
-0.01988001 0.05450017 105 125 152 1382
-0.01941308 0.05511359 105 125 152 996
-0.01679845 0.05474237 130 151 172 978
-0.01785970 0.05466538 105 125 152 1057
-0.01194006 0.05560453 130 151 172 532
-0.01269158 0.05520258 130 151 172 682
-0.01468157 0.05448529 130 151 172 789
-0.01914952 0.05272678 105 125 152 739
0.01357592 0.06401432 144 171 178 821
-0.01385870 0.05375552 130 151 172 782
-0.02147447 0.05121355 105 125 152 767
-0.02655116 0.04925450 123 143 170 685
-0.00548213 0.05582083 132 155 171 585
-0.00659886 0.05517582 132 155 171 682
-0.00773663 0.05502644 130 151 172 682
-0.01604183 0.05182863 130 151 172 910
-0.02067258 0.05036339 105 125 152 835
-0.02203284 0.04996623 105 125 152 700
-0.00703550 0.05400953 132 155 171 760
-0.00608157 0.05474247 130 151 172 742
-0.01014318 0.05285273 130 151 172 767
-0.01662121 0.05066626 105 125 152 875
-0.01873296 0.04986795 105 125 152 850
-0.02067771 0.04895395 105 125 152 807
-0.02035772 0.04939371 105 125 152 842
-0.02429247 0.04796775 105 125 152 714
-0.03237423 0.04481062 123 143 170 678
-0.01295513 0.05081009 130 151 172 942
-0.02018558 0.04842796 105 125 152 864
-0.02215459 0.04762493 105 125 152 728
-0.02926236 0.04511754 123 143 170 746
-0.03159336 0.04445610 123 143 170 707
-0.03618213 0.04261562 127 149 172 646
0.00250820 0.05546774 132 155 171 700
0.00137138 0.05531742 132 155 171 742
-0.00013162 0.05471886 132 155 171 707
-0.00222331 0.05363120 132 155 171 803
-0.00606150 0.05219284 130 151 172 835
-0.00792976 0.05155655 130 151 172 803
-0.00794982 0.05184590 130 151 172 807
-0.00979800 0.05112562 130 151 172 807
-0.01426502 0.04916083 130 151 172 867
-0.01392078 0.04969417 130 151 172 821
-0.01676302 0.04840896 105 125 152 835
-0.01714928 0.04845618 105 125 152 782
-0.03213074 0.04271316 123 143 170 850
-0.03464975 0.04225158 127 149 172 746
0.00539757 0.05532231 149 172 186 685
-0.00812288 0.05034775 130 151 172 803
-0.01234638 0.04875033 130 151 172 928
-0.01386947 0.04885179 105 125 152 814
-0.02055083 0.04592461 105 125 152 753
-0.02355592 0.04513722 105 125 152 753
-0.02566861 0.04433985 123 143 170 735
-0.02739410 0.04349431 123 143 170 807
-0.02962854 0.04282047 123 143 170 789
-0.03025736 0.04270471 123 143 170 807
-0.03744163 0.04012493 127 149 172 814
-0.04176681 0.03815715 127 149 172 625
0.00023363 0.05270240 130 148 170 828
-0.00398989 0.05131033 105 122 148 835
-0.00644682 0.04997961 105 122 148 835
-0.01132109 0.04855690 105 122 148 807
-0.01501653 0.04691004 105 122 148 800
-0.01676302 0.04614945 100 116 149 814
-0.01901753 0.04576496 100 116 149 864
-0.02632354 0.04289881 102 118 151 807
-0.03176549 0.04069671 102 118 151 775
-0.03377649 0.04026970 102 118 151 807
-0.00639644 0.04893205 105 122 148 803
-0.00729070 0.04873938 105 122 148 903
-0.02018558 0.04390738 100 116 149 800
-0.02292710 0.04299346 100 116 149 835
-0.02369867 0.04288086 102 118 151 789
-0.02690710 0.04155887 102 118 151 814
-0.03285194 0.03949883 102 118 151 767
-0.03792863 0.03754056 101 121 148 775
0.01255990 0.05470101 162 183 200 546
0.00894514 0.05350947 162 183 200 842
0.00795013 0.05315005 162 183 200 814
0.00780833 0.05335837 162 183 200 842
-0.00149281 0.04959830 130 148 170 742
-0.00151288 0.04988686 130 148 170 767
-0.00202088 0.04964772 130 148 170 753
-0.00486314 0.04856785 105 122 148 842
-0.00797082 0.04741105 105 122 148 857
-0.00996083 0.04689909 105 122 148 864
-0.01107758 0.04625330 105 122 148 867
-0.01552453 0.04440984 100 116 149 739
-0.01469233 0.04506176 100 116 149 775
-0.01988660 0.04340540 100 116 149 867
-0.02224186 0.04244425 100 116 149 767
-0.02447535 0.04156414 102 118 151 807
