//U V R G B Intensity
-0.01607263 0.04599745 74 71 102 1175
-0.01858473 0.04595925 74 71 102 1164
-0.02247766 0.04597260 72 69 98 1039
-0.02408787 0.04601310 72 69 98 1089
0.03053232 0.04447388 121 114 132 1125
0.02627739 0.04446487 111 108 125 942
0.02563181 0.04449928 111 108 125 921
0.02137704 0.04458959 111 108 125 914
0.02089953 0.04454790 81 83 98 953
0.01998844 0.04455898 81 83 98 942
0.01926294 0.04458637 81 83 98 989
0.01200006 0.04467669 81 83 98 982
0.00667523 0.04466475 66 72 86 975
-0.00010051 0.04470730 65 70 89 1050
-0.00565673 0.04475647 75 75 103 1046
-0.00937167 0.04490334 75 75 103 1100
-0.01427210 0.04492841 74 71 102 1153
-0.02201207 0.04497737 72 69 98 1050
-0.02279065 0.04490016 72 69 98 1200
-0.02453387 0.04502889 72 69 98 1232
0.03121697 0.04338003 121 114 132 1107
0.02757214 0.04352393 111 108 125 914
0.02540501 0.04351577 111 108 125 892
0.02390100 0.04356561 111 108 125 878
0.02186638 0.04356909 111 108 125 878
0.02149508 0.04353674 111 108 125 978
0.01657770 0.04366914 81 83 98 960
0.01352578 0.04367437 81 83 98 1039
0.01142879 0.04366325 66 72 86 1032
0.00512997 0.04374772 66 72 86 1114
0.00443126 0.04367748 65 70 89 1028
0.00312215 0.04375356 65 70 89 1089
0.00017650 0.04376777 65 70 89 1032
-0.00707675 0.04386863 75 75 103 1135
-0.00847506 0.04382777 75 75 103 1175
-0.01497590 0.04390331 74 71 102 1078
-0.01874353 0.04394590 74 71 102 1057
-0.01985003 0.04403068 74 71 102 1050
-0.02008882 0.04390998 74 71 102 1067
-0.02134436 0.04399078 72 69 98 1010
-0.02231835 0.04398721 72 69 98 1128
-0.02423688 0.04400973 72 69 98 1142
0.03186772 0.04240072 121 114 132 1164
0.02755978 0.04248670 111 108 125 875
0.02518068 0.04246019 111 108 125 1000
0.02204934 0.04255842 111 108 125 964
0.02009471 0.04256864 81 83 98 992
0.01720210 0.04258787 81 83 98 932
0.01285799 0.04256185 81 83 98 1096
0.00535683 0.04273144 66 72 86 1000
0.00345473 0.04264664 65 70 89 1078
0.00078389 0.04279412 65 70 89 989
-0.00112760 0.04269967 65 70 89 1000
-0.00394073 0.04272554 65 70 89 1003
-0.00533861 0.04278499 75 75 103 1067
-0.01130009 0.04281678 75 75 103 1192
-0.01189309 0.04285582 75 75 103 1107
-0.01798665 0.04287629 74 71 102 1085
-0.02074676 0.04290716 72 69 98 914
-0.02230388 0.04295232 72 69 98 1028
-0.02372857 0.04290944 72 69 98 1146
-0.02725732 0.04297245 72 69 98 1225
-0.02806273 0.04299281 72 69 98 1350
-0.03014993 0.04299167 81 79 101 1321
0.03339599 0.04142596 121 114 132 1325
0.03111288 0.04149848 121 114 132 1107
0.02802537 0.04149146 111 108 125 1000
0.02177965 0.04148061 111 108 125 1007
0.00881096 0.04171629 66 72 86 925
0.00409615 0.04175767 65 70 89 1032
0.00284011 0.04173843 65 70 89 964
-0.00076813 0.04179475 65 70 89 953
-0.00210362 0.04176881 65 70 89 1000
-0.00309465 0.04177286 65 70 89 964
-0.01048285 0.04183422 75 75 103 1089
-0.01468409 0.04192957 74 71 102 1142
-0.01911475 0.04201381 74 71 102 1089
-0.02729869 0.04200586 72 69 98 1328
0.03473610 0.04040732 181 173 194 1789
0.03365641 0.04049439 181 173 194 1535
0.03121441 0.04045329 181 173 194 1175
0.02937525 0.04048273 181 173 194 1089
0.02947160 0.04048243 167 164 185 1085
0.02412005 0.04046784 167 164 185 978
0.01954760 0.04063050 111 112 132 1046
0.01394754 0.04068494 111 112 132 1050
0.00994894 0.04068899 76 81 100 946
0.00832163 0.04063741 76 81 100 953
0.00647261 0.04065721 76 81 100 971
0.00066107 0.04069335 71 76 98 1067
-0.00126726 0.04080588 71 76 98 1017
-0.00651260 0.04080063 75 74 106 1017
-0.00681376 0.04086531 75 74 106 1153
-0.00847717 0.04080143 75 74 106 1164
-0.01069732 0.04088826 75 74 106 1142
-0.01082990 0.04087695 75 74 106 1078
-0.01882550 0.04101219 68 67 101 1050
-0.02115142 0.04099007 68 67 101 989
-0.02462051 0.04104067 72 71 102 1153
-0.02545223 0.04095874 72 71 102 1192
-0.02968025 0.04105173 102 102 128 1339
0.04012579 0.03936204 126 114 136 13789
0.03887027 0.03944283 126 114 136 9721
0.03756116 0.03941893 181 173 194 6510
0.03699495 0.03946032 181 173 194 3992
0.03557964 0.03942708 181 173 194 2685
0.03161711 0.03944342 181 173 194 1267
0.02891945 0.03948855 181 173 194 1103
0.02775985 0.03956866 167 164 185 1103
0.02753810 0.03954033 167 164 185 1067
0.02403604 0.03960599 167 164 185 953
0.02089486 0.03959453 111 112 132 1035
0.01867472 0.03968142 111 112 132 1017
0.01710048 0.03963449 111 112 132 1046
0.01473839 0.03960036 111 112 132 1103
0.01294257 0.03972454 111 112 132 1032
0.01072234 0.03971171 76 81 100 971
0.00828086 0.03967060 76 81 100 989
-0.00121933 0.03985591 71 76 98 992
-0.00226293 0.03985534 71 76 98 1028
-0.00585467 0.03990399 75 74 106 1032
-0.00601356 0.03989031 75 74 106 1107
-0.00890608 0.03990926 75 74 106 1153
-0.01204719 0.03999752 75 74 106 1050
-0.01753083 0.03997161 68 67 101 1142
-0.01963559 0.03997805 68 67 101 1085
-0.02512891 0.04004187 72 71 102 1114
-0.02786266 0.04007477 72 71 102 1282
-0.02775654 0.04008439 72 71 102 1339
-0.03314415 0.04015750 102 102 128 1453
-0.03364796 0.04011351 102 102 128 1607
0.04297039 0.03829361 126 114 136 22225
0.04158189 0.03826272 126 114 136 22453
0.04072387 0.03827847 126 114 136 20975
0.03940546 0.03834461 126 114 136 18171
0.03801695 0.03841365 126 114 136 13071
0.03699963 0.03841539 181 173 194 9446
0.03537232 0.03836386 181 173 194 3892
