//U V R G B Intensity
0.00657206 0.07077790 123 104 90 1685
0.00912264 0.06981334 139 120 106 1650
-0.00385768 0.06985924 112 99 109 825
-0.00491276 0.06782228 101 90 107 532
-0.00435618 0.06686708 97 89 112 717
0.00220173 0.06589883 91 71 96 2500
-0.00347534 0.06477544 82 72 99 832
-0.00560484 0.06467911 89 84 107 185
0.00220173 0.06390250 82 64 90 1750
-0.00194111 0.06380045 82 72 99 1760
0.01669693 0.06286652 99 93 97 1342
-0.00253642 0.06272910 82 72 99 1439
0.00306323 0.06179578 83 67 94 578
0.00227438 0.06082296 83 67 94 875
-0.00209359 0.06088265 70 61 88 1389
-0.00288003 0.05985781 78 69 96 867
-0.00426419 0.05980999 87 85 107 471
0.00639787 0.05891359 134 127 135 914
0.00438449 0.05890785 106 95 109 1228
0.00344557 0.05870831 106 95 109 1382
0.00254538 0.05878854 84 70 95 1535
-0.00211293 0.05887123 78 69 96 2153
-0.00570161 0.05886417 87 85 107 967
-0.00675668 0.05882355 119 122 139 814
0.00816437 0.05787029 131 125 135 1114
0.00689637 0.05766354 117 109 120 2528
0.00599614 0.05774373 117 109 120 2907
0.00497980 0.05773333 92 84 99 3217
0.00288899 0.05766719 76 64 88 3471
-0.00305426 0.05772555 85 80 103 3032
-0.00520311 0.05786365 79 75 98 2467
-0.00625818 0.05782303 78 79 97 2575
-0.00711968 0.05793344 78 79 97 2517
0.01149901 0.05673489 134 128 138 2860
0.01028905 0.05682298 134 128 138 3439
0.00960179 0.05681978 131 125 135 3839
0.00839186 0.05690789 131 125 135 4092
0.00747229 0.05672344 131 125 135 4275
0.00639787 0.05691728 117 109 120 4442
0.00551703 0.05676304 117 109 120 4892
0.00450065 0.05675261 92 84 99 5746
0.00344557 0.05671199 92 84 99 5739
0.00250665 0.05676199 76 64 88 5546
-0.00111594 0.05687021 85 80 103 6442
-0.00215167 0.05684468 85 80 103 4796
-0.00462718 0.05692357 79 75 98 3517
-0.00562418 0.05692826 79 75 98 3675
-0.00660183 0.05694805 78 79 97 3878
-0.00767625 0.05689234 78 79 97 4039
-0.00871198 0.05686681 103 105 120 2360
0.01406893 0.05578540 115 107 118 1528
0.01301386 0.05574478 115 107 118 4310
0.01207494 0.05579478 105 97 110 4607
0.01100051 0.05573906 105 97 110 5421
0.00998413 0.05572863 105 97 110 5428
0.00898714 0.05573332 98 90 105 5535
0.00783529 0.05586676 98 90 105 5803
0.00703187 0.05577293 94 85 102 6357
0.00589937 0.05592146 94 85 102 6635
0.00505722 0.05579740 91 82 103 7575
0.00390537 0.05568128 91 82 103 9053
0.00286965 0.05590532 82 74 98 8771
0.00214365 0.05587188 82 74 98 7632
0.00009158 0.05583596 83 74 103 7246
-0.00102154 0.05575005 83 74 103 7803
-0.00201853 0.05575474 84 75 102 7650
-0.00324784 0.05582775 84 75 102 6878
-0.00410934 0.05593816 85 77 101 6289
-0.00485468 0.05588963 85 77 101 5567
-0.00612268 0.05593245 87 79 103 6078
-0.00706160 0.05573289 87 79 103 5982
-0.00805860 0.05598714 88 80 103 5892
-0.00911367 0.05594652 88 80 103 5682
-0.00995582 0.05582247 88 80 103 4996
-0.01106898 0.05598610 90 81 100 5160
0.03145832 0.05465983 99 98 104 989
0.01634846 0.05460936 146 141 148 4082
0.01550635 0.05473489 129 124 131 4892
0.01454805 0.05476977 129 124 131 5339
0.01341555 0.05466875 115 107 118 5853
0.01232178 0.05459794 115 107 118 6528
0.01149901 0.05473857 105 97 110 6835
0.01034713 0.05462242 105 97 110 6910
0.00950502 0.05474795 98 90 105 7660
0.00852737 0.05476774 98 90 105 7557
0.00749164 0.05474221 98 90 105 7921
0.00647529 0.05473181 94 85 102 8239
0.00551703 0.05476672 94 85 102 8589
0.00455872 0.05480160 91 82 103 9464
0.00346495 0.05473079 91 82 103 9360
0.00252603 0.05478079 82 74 98 8289
0.00141288 0.05469486 82 74 98 7782
0.00039650 0.05468443 83 74 103 7057
-0.00056177 0.05471934 83 74 103 7385
-0.00148134 0.05478443 84 75 102 8103
-0.00257511 0.05471363 84 75 102 8496
-0.00353342 0.05474851 84 75 102 8528
-0.00456911 0.05472301 85 77 101 7739
-0.00560484 0.05469748 85 77 101 7600
-0.00650502 0.05477770 87 79 103 7735
-0.00750202 0.05478240 87 79 103 7532
-0.00857648 0.05472665 88 80 103 6989
-0.00951540 0.05477666 88 80 103 7692
-0.01045432 0.05482666 90 81 100 7725
-0.01162552 0.05469544 90 81 100 7535
-0.01260317 0.05471523 93 82 99 6871
-0.01350339 0.05479542 93 82 99 5742
-0.01471332 0.05488353 93 82 99 3389
0.01989603 0.05364009 117 110 117 2450
0.01899584 0.05372031 117 110 117 4450
0.01807627 0.05378541 110 103 111 5632
0.01692442 0.05366929 110 103 111 6403
0.01590804 0.05365886 100 92 103 6978
0.01496912 0.05370886 100 92 103 6867
0.01406893 0.05378908 91 83 96 6885
0.01299451 0.05373337 91 83 96 7903
0.01199751 0.05373806 87 79 94 7964
0.01090371 0.05366722 87 79 94 7992
0.01010029 0.05382294 87 79 94 8285
0.00896779 0.05372191 85 76 93 8832
0.00793206 0.05369639 85 76 93 9060
0.00699314 0.05374639 83 74 93 8389
0.00607357 0.05381149 83 74 93 8721
0.00503787 0.05378599 81 73 96 8335
0.00400215 0.05376047 81 73 96 8096
0.00292772 0.05370475 81 75 101 7889
0.00204688 0.05380007 81 75 101 7378
0.00081757 0.05387305 81 75 101 7407
-0.00006327 0.05371883 81 75 101 6714
-0.00107961 0.05370843 81 75 101 7721
-0.00211534 0.05393244 84 75 102 8403
-0.00297684 0.05379331 84 75 102 8757
-0.00410934 0.05394182 85 77 101 8135
-0.00504826 0.05374229 85 77 101 7896
-0.00589041 0.05386779 88 78 103 7757
-0.00694545 0.05382720 88 78 103 7610
-0.00788440 0.05387717 91 79 103 7160
-0.00907498 0.05373084 91 79 103 7296
-0.01007198 0.05373553 91 79 103 7632
-0.01104959 0.05375534 93 79 102 7278
-0.01198851 0.05380535 93 79 102 7207
-0.01314040 0.05393874 95 80 101 7557
-0.01411801 0.05395855 95 80 101 6839
-0.01505697 0.05375899 94 79 98 5514
-0.01622816 0.05387731 94 79 98 5350
-0.01710900 0.05397263 94 80 97 5532
-0.01810600 0.05397732 94 80 97 5914
0.02156576 0.05277082 134 127 134 5410
0.02047199 0.05270002 117 110 117 6117
0.01955242 0.05276511 117 110 117 6053
0.01836184 0.05261877 110 103 111 6632
0.01750035 0.05272918 110 103 111 7575
0.01660012 0.05280938 110 103 111 7942
0.01550635 0.05273857 100 92 103 7450
0.01452870 0.05275835 100 92 103 7064
0.01341555 0.05267242 91 83 96 7689
0.01236047 0.05263180 91 83 96 8371
0.01142155 0.05268181 87 79 94 8550
0.01050202 0.05274693 87 79 94 8721
0.00940821 0.05267609 85 76 93 8275
0.00843056 0.05269588 85 76 93 8082
0.00735614 0.05264017 85 76 93 8753
0.00635914 0.05264486 83 74 93 9257
0.00555572 0.05280058 83 74 93 9435
0.00448130 0.05274486 81 73 96 8678
0.00340688 0.05268915 81 73 96 8453
0.00235180 0.05264853 81 75 101 7782
0.00145157 0.05272872 81 75 101 7239
0.00047396 0.05274854 81 75 101 7832
-0.00052304 0.05275323 81 75 101 7778
-0.00155877 0.05272770 84 75 102 8839
-0.00257511 0.05271730 84 75 102 9000
-0.00353342 0.05275218 84 75 102 8353
-0.00453041 0.05275687 85 77 101 7267
-0.00570161 0.05287520 85 77 101 7432
-0.00665991 0.05266054 88 78 103 7757
-0.00763752 0.05268035 88 78 103 7614
-0.00859583 0.05271523 91 79 103 8085
-0.00967025 0.05290906 91 79 103 7299
-0.01074467 0.05285334 93 79 102 7221
-0.01164490 0.05268400 93 79 102 6900
-0.01252574 0.05277931 95 80 101 7235
-0.01352274 0.05278400 95 80 101 7339
-0.01455847 0.05275848 95 80 101 6739
-0.01559416 0.05273298 94 79 98 6739
-0.01662989 0.05270745 94 79 98 6625
-0.01770431 0.05290128 94 80 97 7099
-0.01864323 0.05295128 94 80 97 7185
