//U V R G B Intensity
0.02980523 -0.01441065 120 150 160 2096
0.02580579 -0.01299590 115 142 161 3978
0.02380579 -0.01299510 115 142 161 3817
0.02280592 -0.01264142 115 142 161 3121
0.02180857 -0.00609691 115 142 161 2321
0.02080649 -0.01122542 115 142 161 1664
0.00106370 0.00681599 104 122 158 532
-0.00094282 -0.00944964 104 122 158 632
-0.00493923 -0.00043092 104 122 158 782
-0.00693396 0.01282982 104 122 158 814
-0.00819281 -0.00944675 104 122 158 835
-0.00993022 0.02220143 93 108 151 882
-0.01093202 0.01760704 93 108 151 857
-0.01219503 -0.01510113 93 108 151 835
-0.01292980 0.02326315 93 108 151 835
-0.01618991 -0.00219425 93 108 151 685
-0.01718949 -0.00113260 93 108 151 800
-0.01993618 0.00717766 97 111 156 721
-0.02118937 -0.00077772 97 111 156 678
0.03305662 -0.01174327 120 150 160 853
0.03205467 -0.01651783 120 150 160 1489
0.03105594 -0.01351029 120 150 160 2332
0.03005538 -0.01492371 120 150 160 2871
0.02930731 -0.00997467 115 142 161 3385
0.02830787 -0.00856046 115 142 161 3800
0.02705593 -0.01350869 115 142 161 3964
0.02630758 -0.00926690 115 142 161 4182
0.02530774 -0.00908633 115 142 161 3846
0.02430635 -0.01244635 115 142 161 3157
0.02330870 -0.00661046 115 142 161 2285
0.02230801 -0.00820477 115 142 161 1496
0.02105413 -0.01810174 115 142 161 896
0.02005206 -0.02323026 115 142 161 632
0.00457020 0.02221681 107 128 159 510
0.00231189 0.00152758 107 128 159 646
0.00156992 0.02168455 107 128 159 689
0.00031341 0.00524346 104 122 158 735
-0.00068756 0.00294330 104 122 158 767
-0.00143466 0.01019291 104 122 158 803
-0.00242786 0.02716835 104 122 158 782
-0.00342925 0.02380693 104 122 158 803
-0.00443645 0.00559866 104 122 158 835
-0.00568811 0.00153077 104 122 158 821
-0.00643368 0.01266996 104 122 158 796
-0.00743659 0.00524656 104 122 158 850
-0.00869019 -0.00377072 93 108 151 917
-0.00943326 0.01373168 93 108 151 842
-0.01068674 0.00506769 93 108 151 857
-0.01143244 0.01585222 93 108 151 857
-0.01243437 0.01073076 93 108 151 782
-0.01368922 -0.00129300 93 108 151 800
-0.01468963 -0.00235313 93 108 151 767
-0.01569296 -0.01066328 93 108 151 760
-0.01669157 -0.00712796 93 108 151 728
-0.01768438 0.01090597 97 111 156 782
-0.01868478 0.00984650 97 111 156 789
-0.01969143 -0.00694659 97 111 156 775
-0.02068133 0.01851180 97 111 156 707
-0.02168991 -0.00288518 97 111 156 721
-0.02368700 0.00419319 97 111 156 685
-0.02468383 0.01232396 97 111 156 742
-0.02569211 -0.00853890 97 111 156 667
-0.02668713 0.00384109 97 111 156 639
0.03380994 -0.00429998 120 150 160 957
0.03280468 -0.01755749 120 150 160 1739
0.03180648 -0.01296230 120 150 160 2557
0.03080717 -0.01136791 120 150 160 3157
0.02980550 -0.01543590 120 150 160 3592
0.02880469 -0.01755589 115 142 161 3796
0.02780842 -0.00818509 115 142 161 4096
0.02680621 -0.01384137 115 142 161 3910
0.02580745 -0.01065934 115 142 161 3553
0.02480510 -0.01649443 115 142 161 2885
0.02380939 -0.00570980 115 142 161 2064
0.02306369 0.00507538 115 142 161 1328
0.02206382 0.00542907 115 142 161 857
0.02080385 -0.01967447 115 142 161 617
0.00706202 0.00101411 107 128 159 457
0.00606023 -0.00358094 107 128 159 525
0.00532241 0.02700559 107 128 159 653
0.00406549 0.00967842 107 128 159 646
0.00332103 0.02347147 107 128 159 735
0.00206257 0.00242991 107 128 159 721
0.00106674 0.01286125 104 122 158 789
0.00006576 0.01021348 104 122 158 753
-0.00093631 0.00508496 104 122 158 728
-0.00193451 0.00968082 104 122 158 746
-0.00268009 0.02064689 104 122 158 821
-0.00393521 0.00791451 104 122 158 828
-0.00493964 -0.00322326 104 122 158 760
-0.00593644 0.00473367 104 122 158 821
-0.00693687 0.00367355 104 122 158 896
-0.00793756 0.00207996 104 122 158 867
-0.00893147 0.01728757 93 108 151 828
-0.00993825 0.00031293 93 108 151 814
-0.01119296 -0.01170443 93 108 151 767
-0.01193245 0.01481372 93 108 151 821
-0.01393216 0.01552109 93 108 151 735
-0.01519239 -0.01028902 93 108 151 835
-0.01618825 0.00014231 93 108 151 746
-0.01718991 -0.00392633 93 108 151 828
-0.01818603 0.00579843 97 111 156 775
-0.01918977 -0.00357086 97 111 156 714
-0.02019199 -0.00922715 97 111 156 667
-0.02118549 0.00721481 97 111 156 721
-0.02218699 0.00332635 97 111 156 735
-0.02318603 0.00580042 97 111 156 767
-0.02419115 -0.00710379 97 111 156 753
-0.02519337 -0.01258559 97 111 156 700
-0.02619226 -0.00993134 97 111 156 700
-0.02718894 -0.00144728 102 120 158 753
-0.02819186 -0.00869756 102 120 158 660
-0.02919089 -0.00639522 102 120 158 660
-0.02993133 0.01764926 102 120 158 628
