//U V R G B Intensity
0.00947076 0.05695385 144 142 155 24439
0.00839412 0.05693486 144 142 155 26253
0.00670149 0.05698837 144 142 155 29864
0.00468282 0.05694062 168 166 179 28864
-0.00337544 0.05698429 168 166 179 26989
-0.00756775 0.05695546 179 176 187 23825
0.01393272 0.05596356 144 142 155 24560
0.01300963 0.05597506 144 142 155 26989
0.01002858 0.05595545 144 142 155 31535
0.00795130 0.05598134 144 142 155 33528
0.00608617 0.05596408 144 142 155 35264
0.00516309 0.05597559 168 166 179 35389
-0.00014441 0.05594446 168 166 179 34375
-0.00218269 0.05595366 168 166 179 33525
-0.00399032 0.05595999 179 176 187 34246
-0.00516375 0.05593405 179 176 187 34003
-0.00904864 0.05596627 179 176 187 28864
-0.01006779 0.05597087 179 176 187 29221
-0.01104838 0.05595879 179 176 187 28021
-0.01206752 0.05596339 179 176 187 25967
0.01754797 0.05495135 114 112 125 26692
0.01462515 0.05495537 114 112 125 30242
0.01350951 0.05495308 144 142 155 31742
0.01258643 0.05496458 144 142 155 32835
0.01147049 0.05496223 144 142 155 33889
0.00860518 0.05523973 144 142 155 34496
0.00668255 0.05519888 144 142 155 35003
0.00562485 0.05522017 144 142 155 34875
0.00474032 0.05521499 168 166 179 35525
0.00175927 0.05519537 168 166 179 37328
0.00066331 0.05523340 168 166 179 37332
-0.00027902 0.05520458 168 166 179 36192
-0.00143321 0.05521896 168 166 179 36475
-0.00327938 0.05524198 168 166 179 37185
-0.00450915 0.05519249 179 176 187 36060
-0.00641400 0.05519187 179 176 187 34003
-0.00831767 0.05519129 179 176 187 31742
-0.01043306 0.05523386 179 176 187 31742
-0.01147115 0.05519819 179 176 187 30925
-0.01229819 0.05521660 179 176 187 29307
-0.01537529 0.05519008 178 172 184 23303
0.01997120 0.05422015 114 112 125 22482
0.01889383 0.05420111 114 112 125 27617
0.01787468 0.05420571 114 112 125 31021
0.01489436 0.05418615 114 112 125 32496
0.01291358 0.05421894 144 142 155 33889
0.01206686 0.05419703 144 142 155 34621
0.01095167 0.05419472 144 142 155 34750
0.00993253 0.05419933 144 142 155 34621
0.00891338 0.05420393 144 142 155 34128
0.00798986 0.05421544 144 142 155 34375
0.00697071 0.05422004 144 142 155 35264
0.00502847 0.05423615 168 166 179 35392
0.00399039 0.05420048 168 166 179 36060
0.00181750 0.05421946 168 166 179 38071
0.00077868 0.05418374 168 166 179 37471
-0.00008691 0.05421883 168 166 179 37767
-0.00102894 0.05419007 168 166 179 37764
-0.00214414 0.05418776 168 166 179 38685
-0.00306723 0.05419927 168 166 179 38842
-0.00497091 0.05419869 179 176 187 37182
-0.00710597 0.05420094 179 176 187 35785
-0.00999024 0.05418828 179 176 187 34746
-0.01216357 0.05420727 179 176 187 34621
-0.01302917 0.05424237 178 172 184 32950
-0.01926019 0.05422275 178 172 184 23653
0.02062507 0.05322865 172 170 183 27778
0.01974054 0.05322347 172 170 183 31853
0.01860566 0.05318084 172 170 183 33885
0.01768257 0.05319235 172 170 183 34496
0.01652882 0.05320673 172 170 183 34750
0.01468221 0.05322975 172 170 183 35657
0.01364455 0.05319407 199 198 212 36335
0.01252863 0.05319172 199 198 212 35921
0.00960537 0.05319575 199 198 212 34875
0.00760564 0.05318827 199 198 212 35128
0.00570196 0.05318769 199 198 212 35921
0.00264380 0.05320145 202 202 214 37621
0.00172071 0.05321295 202 202 214 36753
-0.00037507 0.05319857 202 202 214 38071
-0.00245235 0.05322446 202 202 214 38528
-0.00329789 0.05320259 202 202 214 38071
-0.00437527 0.05318355 217 214 225 37617
-0.00631794 0.05319967 217 214 225 36889
-0.00835622 0.05320887 217 214 225 35921
-0.00927931 0.05322038 217 214 225 35003
-0.01035595 0.05320139 217 214 225 35260
-0.01122154 0.05323649 217 214 225 34621
-0.01220213 0.05322440 217 214 225 33885
-0.02052895 0.05344029 213 210 221 27142
0.02497130 0.05219113 125 121 135 19032
0.02397066 0.05223601 125 121 135 22325
0.02293301 0.05220033 125 121 135 25410
0.01995195 0.05218071 172 170 183 34750
0.01885527 0.05221869 172 170 183 36614
0.01797074 0.05221351 172 170 183 37185
0.01606706 0.05221294 172 170 183 38378
0.01304819 0.05221006 199 198 212 38375
0.01197081 0.05219102 199 198 212 37767
0.01110595 0.05222617 199 198 212 36475
0.00808591 0.05222324 199 198 212 36196
