//U V R G B Intensity
0.00754126 0.05884935 183 181 194 22696
0.00651238 0.05886278 183 181 194 24314
0.00572682 0.05886437 183 181 194 25682
0.00435855 0.05881177 183 181 194 26464
0.00370245 0.05887131 183 181 194 25082
0.00252830 0.05883676 183 181 194 24882
0.00158915 0.05886423 203 201 214 24375
0.00032606 0.05881567 203 201 214 23821
-0.00038682 0.05884124 203 201 214 23417
-0.00153715 0.05886060 203 201 214 23532
-0.00258986 0.05882012 203 201 214 23471
-0.00349686 0.05882764 203 201 214 23414
-0.00463093 0.05883703 203 201 214 23532
-0.00653386 0.05883804 203 201 214 22910
0.01302376 0.05784838 153 149 163 21421
0.01214892 0.05783592 153 149 163 24007
0.01112003 0.05784936 183 181 194 26107
0.01012454 0.05784286 183 181 194 27146
0.00921711 0.05785037 183 181 194 28267
0.00802749 0.05782582 183 181 194 30721
0.00720900 0.05784734 183 181 194 32067
0.00630199 0.05785485 183 181 194 33646
0.00520087 0.05784431 183 181 194 34125
0.00420458 0.05783778 183 181 194 33885
0.00337062 0.05786930 183 181 194 32728
0.00216351 0.05785468 203 201 214 32832
0.00127277 0.05785223 203 201 214 32174
0.00009941 0.05781771 203 201 214 31217
-0.00101876 0.05781710 203 201 214 31117
-0.00210363 0.05779659 203 201 214 31114
-0.00286491 0.05785209 203 201 214 30925
-0.00386085 0.05784559 203 201 214 31532
-0.00590191 0.05786250 203 201 214 30821
-0.00810451 0.05784138 214 212 225 27532
-0.00897900 0.05782896 214 212 225 26764
-0.00979707 0.05785048 214 212 225 25750
-0.01182188 0.05785742 214 212 225 23075
-0.01274514 0.05787489 214 212 225 20071
0.01551855 0.05682787 153 149 163 24310
0.01459486 0.05684536 153 149 163 25892
0.01338775 0.05683074 153 149 163 27775
0.01260220 0.05683233 153 149 163 30050
0.01155829 0.05685576 153 149 163 32067
0.01066676 0.05685327 183 181 194 32392
0.00967082 0.05684678 183 181 194 33646
0.00848078 0.05682222 183 181 194 33642
0.00754126 0.05684967 183 181 194 34621
0.00663426 0.05685718 183 181 194 34621
