//U V R G B Intensity
-0.00320915 0.07010055 103 92 106 1103
-0.00282600 0.06700546 91 78 106 1221
-0.00483929 0.06699915 108 95 121 407
0.01178489 0.06606593 112 108 109 2253
-0.00223133 0.06608772 91 78 106 1367
0.00325238 0.06506188 91 83 98 989
0.00229378 0.06510000 84 74 99 2285
-0.00180971 0.06502130 85 74 104 1385
-0.00175206 0.06107963 75 62 92 2235
-0.00228901 0.06005135 90 75 104 1935
0.00313701 0.05897596 89 79 103 3721
-0.00177128 0.05906751 81 66 95 3789
-0.00380379 0.05904469 90 75 104 2750
-0.00489698 0.05896718 101 87 113 2632
-0.00587480 0.05898878 101 87 113 2732
-0.00685259 0.05901042 117 103 128 2650
0.00768137 0.05800479 106 95 112 4475
0.00664586 0.05797683 98 86 106 4785
0.00566808 0.05799847 98 86 106 5300
-0.00129197 0.05805065 89 75 101 6339
-0.00232748 0.05802270 92 78 104 4946
0.01318430 0.05699545 124 116 131 4575
0.01214883 0.05696753 124 116 131 4717
0.01019318 0.05701074 110 101 118 5264
0.00919614 0.05701584 106 95 112 5607
0.00725975 0.05707559 106 95 112 6653
0.00317548 0.05701340 84 72 94 8878
0.00221688 0.05705151 83 69 94 7792
0.00010743 0.05696259 89 75 101 7049
-0.00083192 0.05701724 89 75 101 7585
-0.00288369 0.05697788 92 78 104 7235
-0.00589402 0.05697666 91 77 102 6792
-0.00784962 0.05701990 91 77 100 6067
-0.00892360 0.05695890 95 82 102 5828
-0.00992064 0.05696399 95 82 102 5264
0.01166952 0.05598880 101 89 101 7010
0.00862072 0.05595453 90 77 94 7778
0.00768137 0.05600918 90 77 94 8032
0.00562961 0.05596982 91 76 95 8707
0.00465179 0.05599142 88 73 94 9446
0.00260003 0.05595205 88 73 94 8132
0.00160299 0.05595715 92 77 100 7575
-0.00039109 0.05596734 94 78 104 7339
-0.00138813 0.05597244 94 78 104 8275
-0.00234670 0.05601059 93 77 103 8625
-0.00332452 0.05603219 93 77 103 8628
-0.00541471 0.05595981 90 75 98 7978
-0.01041916 0.05596875 88 75 95 7882
-0.01335259 0.05603360 89 78 94 5767
0.01818870 0.05499088 134 127 135 6275
0.01414290 0.05496174 105 95 106 7485
0.01318430 0.05499986 101 89 101 7892
0.01224494 0.05505451 101 89 101 8196
