//U V R G B Intensity
-0.00399610 0.06902108 91 75 85 585
0.00623729 0.06303366 107 91 102 496
0.00307802 0.06103673 67 42 61 1203
0.00362742 0.05803531 84 63 78 910
-0.00512921 0.05801176 73 57 83 382
0.00877844 0.05700322 96 80 91 557
0.00349005 0.05700927 60 33 48 1867
0.00719887 0.05600475 87 67 79 1232
0.00582519 0.05602761 87 67 79 1246
-0.00293145 0.05600407 61 42 62 1275
-0.00650289 0.05603500 61 51 78 982
0.00733611 0.05503117 70 49 58 1585
0.00664946 0.05500695 70 49 58 1550
0.00349005 0.05500965 63 37 48 1957
0.00204772 0.05503722 63 37 48 2575
-0.00379002 0.05500964 56 41 64 1635
0.00795430 0.05402463 71 54 64 1521
0.00493232 0.05401791 64 38 49 1824
-0.00293145 0.05400445 58 39 58 1910
-0.00506056 0.05400781 56 41 64 1496
-0.00725833 0.05401588 50 40 65 1610
-0.01144790 0.05401790 52 44 68 989
0.00465765 0.05300129 64 38 49 1675
-0.00097412 0.05303087 61 37 51 1953
-0.00804824 0.05301675 50 40 65 1635
-0.00928449 0.05303020 48 39 66 1646
0.01214374 0.05202301 61 45 56 1575
0.01022071 0.05201225 64 47 57 1532
0.00623735 0.05200013 71 49 61 1617
-0.00203872 0.05201493 61 38 56 1742
-0.01474461 0.05203039 58 45 65 1792
0.02107230 0.05126710 98 92 102 1407
0.01702016 0.05125970 62 52 61 1514
0.01598986 0.05125903 62 52 61 1539
0.01248720 0.05103530 61 48 58 1635
0.00980874 0.05100503 64 47 57 1550
0.00561916 0.05100705 70 46 59 1707
0.00335275 0.05101982 70 42 56 1682
0.00211650 0.05103327 70 42 56 1789
-0.01869367 0.05103393 54 36 48 1578
0.01544045 0.05026124 65 46 65 1610
-0.00011569 0.05002607 62 31 47 1810
-0.00416770 0.05001866 69 42 59 1864
-0.01975814 0.05001798 60 42 56 1721
-0.02278011 0.05001126 60 42 54 1157
0.02436888 0.04925538 77 63 80 1771
0.01990470 0.04927622 68 51 69 1903
0.01901184 0.04926614 67 50 68 1885
0.01585256 0.04926882 65 46 65 1596
0.00967130 0.04901484 57 40 56 1682
0.00658068 0.04901282 60 43 59 1710
-0.00605643 0.04902356 65 40 59 1867
-0.02041062 0.04900943 60 42 56 1707
0.02066019 0.04826028 69 47 68 1721
0.01846243 0.04826834 68 46 67 1796
0.01537180 0.04826633 66 44 65 1764
0.01331134 0.04826498 63 41 62 1842
0.00987733 0.04803654 57 40 59 1682
0.00410824 0.04800426 64 43 62 1878
-0.00815119 0.04800694 67 38 56 1814
-0.01240942 0.04801367 68 41 58 1750
-0.01653021 0.04801098 70 47 65 1774
-0.01749172 0.04800560 67 46 63 1774
-0.02593939 0.04801433 60 43 61 1710
0.02086622 0.04728199 69 47 68 1835
0.01475361 0.04727325 63 41 62 1789
